"","in_uhc_familiar","in_uhc_change","in_cap_familiar","in_cap_change","in_ai_familiar","in_ai_change","Like_Free_R","Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","id","conv_cond","consen_cond","utilitarian","deontological","time","uhc_support","cap_support","ai_support","uhc_mconv","cap_mconv","ai_mconv"
"11",-24,21,30,-19,33,-16,"I liked the thought out questions","Many of the questions seemed repetitive",5,19,"Female","Caucasian/White","Sophmore","91995","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2.5,"Pre",4,28,-26,19,29.7142857142857,21.1428571428571
"12",5,-10,4,-9,20,3,"Made me think critically of interesting topics","Reading the essays and letting my opinion slightly change",8,18,"Female","Caucasian/White","Freshman","91649","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3,"Pre",4,-10,-21,11.1428571428571,13.7142857142857,-1.14285714285714
"13",29,17,21,-34,-10,21,"The opportunity to explain my thoughts further then just yes and no. ","Going back and forth on my own moral standpoints. ",3,18,"Female","Caucasian/White","Freshman","92326","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,3.66666666666667,"Pre",50,-50,-39,19.5714285714286,22.5714285714286,-0.142857142857143
"14",13,-21,8,-21,25,-11,"Interesting topics","Moral vs ethical",11,19,"Female","Caucasian/White","Sophmore","91643","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3,2.33333333333333,"Pre",-27,23,32,9.14285714285714,15.2857142857143,9.28571428571429
"15",34,-9,35,-15,31,30,"I liked that we got to guess where people in 2018 would score these questions and then we got to read a little bit about the topics. It was also interesting that one of the questions was how open are you to changing your mind.","Sometimes some of the questions about is it moral or not I knew what I believed but was unsure how to represent that on the sliding scale. ",4,19,"Female","Caucasian/White","Sophmore","91104","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,3.16666666666667,"Pre",45,-28,5,31.1428571428571,34.5714285714286,1.28571428571429
"16",-30,15,9,6,3,8,"I liked that it asked if the answer one chose was because of their morals.","I did not understand completely some of the questions.",8,18,"Female","Caucasian/White","Freshman","92172","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3.16666666666667,"Pre",16,2,4,3.57142857142857,2.42857142857143,0.571428571428571
"17",-42,0,-40,50,43,50,"We got to predict what the Americans thought about AI, Capital Punishment, and health care, and then see what the results were","Really just deciding if my opinions were reflective on my values and morals. Which in certain circumstances, i agree.",6,18,"Female","Caucasian/White,African-American/Black","Freshman","92319","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,1.66666666666667,"Pre",-20,-19,-50,-16.8571428571429,11.7142857142857,-4.57142857142857
"18",0,30,10,20,50,0,"It made me think about things I usually don't thin about.","I was not very informed about these issues before reading the essays. ",6,18,"Female","Caucasian/White","Freshman","92330","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.66666666666667,2.83333333333333,"Pre",25,-10,30,7.14285714285714,38.5714285714286,8.71428571428571
"19",-1,24,25,-27,34,35,"I liked that they gave statistics about how other Americans feel","I thought the wording about ethics and moral questions was a little confusing. ",6,18,"Female","African-American/Black","Freshman","92378","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,2.33333333333333,"Pre",45,-22,-25,10.2857142857143,22.4285714285714,-26.2857142857143
"20",-10,21,30,-21,32,-11,"I liked that it sled me for my opinion before showing me the percentage of what other people thought. ","It was difficult to gauge how the morality of each opinion and how I would put it on my scale. ",7,18,"Female","Caucasian/White","Freshman","92179","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.83333333333333,"Pre",0,29,-11,12.8571428571429,27.2857142857143,20.5714285714286
"21",-10,5,9,5,41,-2,"it really tested my thoughts and ideas i had about the topics ","sometimes the questions seemed contradictory",8,18,"Female","African-American/Black","Freshman","91189","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,3.5,"Pre",20,-5,17,12,26.5714285714286,-26.4285714285714
"22",0,11,-5,17,16,32,"I liked how it gave you the opportunity to change your answers and opinions on the topic","thinking deeply about the topics to answer the questions",9,18,"Male","Caucasian/White","Freshman","91930","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,2.5,"Pre",-16,13,24,1.85714285714286,10.5714285714286,-6
"23",-25,20,23,-20,30,-26,"I liked being able to compare my opinions on the topics of health care, the death penalty, and AI with real percentages from data","None",6,18,"Female","Caucasian/White","Freshman","91990","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.33333333333333,2.16666666666667,"Pre",15,-32,-43,19.1428571428571,38,13
"24",-22,15,19,6,20,14,"Understanding America's view on their stances for certain issues.","No challenges.",6,19,"Male","Caucasian/White","Freshman","92437","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,3.5,"Pre",11,-10,-15,6,8.71428571428571,6.85714285714286
"25",-10,-15,30,-13,26,15,"I liked knowing the statistics of each of the topic statements. ","I had challenges with thinking about how most others would rate their agreeing or disagreeing with the statements. ",6,20,"Female","Caucasian/White","Junior","91873","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,3,"Pre",30,-30,-21,24.4285714285714,22.7142857142857,19.8571428571429
"26",-50,0,20,-7,33,2,"The essays that I read, were interesting to learn about.","Understanding some of the questions and what they were asking, and the percentages to each essay.",5,19,"Female","Caucasian/White","Freshman","92475","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.5,3,"Pre",40,-4,-31,12.4285714285714,-5.71428571428571,-8.14285714285714
"27",-21,35,-41,40,32,13,"I liked that it ask the questions, then I read the essays, then ask the questions again.","I didn't have any.",4,18,"Female","Caucasian/White","Freshman","91693","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,2.5,"Pre",10,-20,32,-4,17.1428571428571,-21.1428571428571
"28",21,21,19,15,34,18,"I liked the way it was set up.","no challenges",4,18,"Female","Caucasian/White","Freshman","91693","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.33333333333333,"Pre",32,-34,15,13.4285714285714,29.1428571428571,8.14285714285714
"29",-28,15,11,11,19,-19,"I liked that there was a comparison of data from 2018 to 2024.","I had challenges understanding what some of the statements were implying.",7,19,"Female","Caucasian/White","Freshman","91411","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.16666666666667,"Pre",10,-10,-31,14.7142857142857,27.7142857142857,6.14285714285714
"30",32,-27,36,-46,37,-28,"Finding out public perception","Thinking of ethical issues that I would be willing to compromise on, wording of question asking if there were important ethical aspects to *blank* without supporting the issue.",1,18,"Male","Caucasian/White","Freshman","92420","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.66666666666667,2.33333333333333,"Pre",43,-46,-35,44.2857142857143,49.2857142857143,22.7142857142857
"31",-5,11,11,4,40,14,"It made me think about my perspective on certain things.","I'm not super opinionated so I don't have a lot to say about certain subjects or ideas that were mentioned. ",6,19,"Female","Caucasian/White,Hispanic/Latino(a)","Freshman","92202","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.5,3.16666666666667,"Pre",13,-10,-21,-1,10.2857142857143,-1
"32",-27,32,-17,30,27,-20,"I liked the continuity, it made it easy to predict what questions would be next. ","It was hard to stay focused during the initial survey portion. ",6,18,"Male","Caucasian/White","Freshman","91625","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2.16666666666667,"Pre",-11,-21,19,-3.57142857142857,20.8571428571429,0
"33",-30,30,-20,50,40,0,"I liked being able to guess the general populations ideas about Universal Healthcare, the death penalty and AI, and then seeing if I was correct or not. I also like studying psychology in general. ","I had challenges measuring my own ethical beliefs about the death penalty because it is a difficult subject to comprehend. ",2,18,"Female","Caucasian/White","Freshman","91168","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.33333333333333,2.5,"Pre",50,0,0,33,37.1428571428571,22.8571428571429
"34",-30,26,32,-21,29,-36,"The essays given weren't too wordy or long.","Seeing the differences between some of the questions.",3,18,"Male","Caucasian/White","Freshman","92651","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,1.83333333333333,"Pre",10,17,-42,7.85714285714286,12.8571428571429,27.4285714285714
"35",1,31,27,20,42,32,"It allowed me to reflect on certain issues","I generally don't have opinions so trying to form them was challenging ",6,18,"Female","Caucasian/White","Freshman","91181","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,3,"Pre",8,0,20,9.85714285714286,4.28571428571429,1.85714285714286
"36",10,30,20,20,20,-10,"I liked being to compare my responses to the data from 2018.","I did not know the difference between the last two questions regarding moral principles and the other option. ",6,18,"Female","Caucasian/White","Freshman","91990","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,2.33333333333333,"Pre",10,-21,-11,5.57142857142857,17,9.42857142857143
"37",20,-32,50,0,41,0,"The prompts were different, but the questions stayed the same throughout each prompt.","deciding if i was using the number scale correctly",8,18,"Female","Caucasian/White","Freshman","91225","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,3.33333333333333,"Pre",50,30,-30,21.2857142857143,22.4285714285714,20
"38",-40,0,41,-49,39,11,"I liked that it included aspects of what the public said about these issues. ","I did not really understand what to do with the slider when I was trying to pick the percentage of Americans who agreed with an issue. ",9,19,"Female","Caucasian/White","Sophmore","92444","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.33333333333333,3,"Pre",21,-50,-48,28.2857142857143,30.8571428571429,9
"39",20,10,25,-10,22,10,"all based on personal opinion","none",7,19,"Female","Caucasian/White","Freshman","92323","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3,"Pre",-10,25,-30,-4.71428571428571,-5,-17
"40",-10,21,22,-23,31,-10,"I liked the comparison between my answers to the general publics. It was genially surprising to see some of the statistics, especially the capital punishment and AI standpoints.","I didn't really have any challenges with this exercise.",4,18,"Male","Caucasian/White","Freshman","92114","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.66666666666667,2.83333333333333,"Pre",27,-30,-30,11.1428571428571,31.7142857142857,19.8571428571429
"41",31,20,20,20,22,-10,"Getting to express my own opinion about things in the world ","Trying to decide if I was for or against some of the questions being asked",9,18,"Female","Caucasian/White","Freshman","92467","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,3,"Pre",10,10,-11,5.85714285714286,9,17.7142857142857
"42",27,16,19,9,34,10,"I liked being able to read the actual material ","it was a little repetitive ",8,18,"Female","Caucasian/White","Freshman","91298","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,3.33333333333333,"Pre",46,7,26,-1,7,-3.42857142857143
"43",1,1,1,1,1,1,"i liked learning about the government","none",4,18,"Female","Caucasian/White","Freshman","91969","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3,3,"Pre",5,1,1,0.714285714285714,0.714285714285714,0.714285714285714
"44",-10,10,27,-28,38,17,"I liked the sliders to measure exactly how I felt. I also liked how it told me what percentages.","not much",8,20,"Male","Caucasian/White,Asian/Pacific Islander","Sophmore","91223","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,2.66666666666667,"Pre",20,-20,12,-2.14285714285714,17.4285714285714,-7.28571428571429
"45",10,40,5,-30,43,-25,"I liked learning about how the majority of the population views these things.","Deciding how the world viewed the death penalty.",10,19,"Male","Caucasian/White,American Indian/Alaska Native","Freshman","91406","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3,"Pre",9,15,25,31.4285714285714,25.2857142857143,9.42857142857143
"46",-25,21,30,11,40,27,"That the topics where relevant to today and well known  ","I don't like using the completely agree or disagree options because i feel like they are to harsh sometime  ",2,18,"Female","Caucasian/White","Freshman","91430","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,1.5,"Pre",23,-4,-6,9.14285714285714,19.2857142857143,13.5714285714286
"47",29,50,23,50,50,-21,"I liked how it challenged me to be self-aware about where my opinions come from and how susceptible I am to persuasion.","It was hard to understand the purpose of some of the questions, because I lot were repetitive so I had to be careful to understand what each questions was asking and the purpose of the question to differentiate between meaning. ",4,18,"Female","Caucasian/White","Freshman","91918","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,1.5,"Pre",50,-25,-50,25.5714285714286,13.2857142857143,21
"48",-32,27,27,-25,12,-33,"The passages that were required to read weren't too long or wordy.","I had trouble noticing the difference between some of the questions.",4,18,"Male","Caucasian/White","Freshman","92651","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,2,"Pre",13,34,-34,11.2857142857143,22.8571428571429,14.7142857142857
"49",22,30,28,16,38,22,"The questions were straight forward and the essays gave a different perspective on the topics","I had no challenges",9,18,"Male","Caucasian/White","Freshman","91512","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,3.33333333333333,"Pre",28,8,-5,22.4285714285714,19.4285714285714,18.7142857142857
"50",21,-11,20,24,27,-17,"Learning about how the rest of america views these things.","Determining what percentage of people would want the death penalty as a thing still.",10,19,"Male","Caucasian/White,American Indian/Alaska Native","Freshman","91406","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,3,"Pre",22,28,26,8.28571428571429,21,13.7142857142857
"51",12,20,28,-4,27,-20,"It was fun to see how my thoughts changed and became stronger after seeing the populations stance. ","Remembering what I said before. ",4,19,"Female","Caucasian/White","Freshman","91227","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.83333333333333,"Pre",21,-11,-22,13.8571428571429,10.1428571428571,13.1428571428571
"52",-4,19,-50,33,26,33,"I liked how there was a variety of question types.","I struggle to think about what my stance would be on certain topics.",6,18,"Female","Caucasian/White","Freshman","92324","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.66666666666667,2.16666666666667,"Pre",21,10,-5,11.5714285714286,0.714285714285714,5.14285714285714
"53",6,13,9,16,29,25,"I liked the questions being asked. ","How repetitive questions were and the same format throughout.",6,18,"Male","Caucasian/White","Freshman","91924","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,2.66666666666667,"Pre",22,28,-14,13.5714285714286,7.14285714285714,0.285714285714286
"54",-36,36,30,50,26,50,"Talking about the specific topics","Explain more the differences between the moral and ethical options",6,18,"Male","Caucasian/White","Freshman","91997","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.66666666666667,2.33333333333333,"Pre",20,50,-38,18.2857142857143,29.7142857142857,2.42857142857143
"55",-10,36,12,19,18,-9,"very good and insightful questions.","Having to drag every answer.",6,18,"Male","Caucasian/White","Freshman","91924","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3,"Pre",17,27,6,7.71428571428571,10.5714285714286,-2.14285714285714
"56",22,-21,18,7,31,-38,"I enjoyed that it gave paragraphs to read about what the US thinks about each topic and then we rated the responses off of that. ","I thought that having to compare moral principles and moral values was a little bit difficult to separate. ",9,19,"Female","Caucasian/White","Sophmore","92028","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.5,2.66666666666667,"Pre",26,20,-43,0.857142857142857,34.2857142857143,23.7142857142857
"57",-22,20,18,9,32,11,"Finding out the percentages of the essays. ","Agreeing with the percentages that were shown, and changing my opinion.",5,19,"Female","Caucasian/White","Freshman","92475","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.33333333333333,3.33333333333333,"Pre",42,-10,-15,-3.71428571428571,-12.2857142857143,-4.28571428571429
"58",10,25,22,-19,24,20,"I liked the inclusion of the essays","I wish it was formatted to focus on one issue at a time. Universal health care, then death penalty, then AI",4,18,"Female","Caucasian/White","Freshman","91603","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.16666666666667,"Pre",-5,-21,7,8.14285714285714,36.4285714285714,16
"59",1,20,17,8,12,13,"The questions were very specific and easy to answer","May of the question were very similar",9,20,"Female","Caucasian/White","Sophmore","92009","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.66666666666667,"Pre",10,11,-6,2.28571428571429,-4.85714285714286,-2.85714285714286
"60",-40,28,-29,36,16,32,"I like how diverse it was ","I didn’t like how repetitive it was ",9,18,"Female","Caucasian/White","Other","91721","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,2.33333333333333,"Pre",36,31,11,21.8571428571429,19.8571428571429,13.1428571428571
"61",13,11,37,-10,33,13,"I liked the different perspectives from 2018","none",4,21,"Female","Caucasian/White","Senior","92170","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,2.16666666666667,"Pre",19,-31,-18,6.85714285714286,26.7142857142857,-0.428571428571429
"62",19,26,28,-10,37,-4,"I liked the different questions that were being asked. It made me think about my stance on certain issues.","I was a little confused on what some of the questions were asking and why some questions were repeated. ",3,18,"Female","Caucasian/White","Freshman","92153","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,3,"Pre",50,-17,30,33.8571428571429,3,-13.7142857142857
"63",50,-40,-20,20,20,33,"everything","SONA credit granting",5,32,"Male","Asian/Pacific Islander","Other","63483","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,2.5,"Pre",50,-39,26,43.8571428571429,13.7142857142857,-6.14285714285714
"64",22,28,24,21,22,31,"I liked that I got to choose how the options were morally important to me and read from essays. ","Some topics I view as more ethically important than others. ",8,18,"Female","Caucasian/White","Freshman","92262","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.33333333333333,3,"Pre",39,42,26,20.7142857142857,39.4285714285714,13.2857142857143
"65",25,-20,41,1,40,1,"I liked that others' stances were shown on the topics given.","No challenges, just tough to pinpoint exactly where my stance was, as it was somewhat grey.",3,18,"Female","Caucasian/White","Freshman","92492","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,2.83333333333333,"Pre",31,20,11,24.2857142857143,25.7142857142857,20
"66",0,20,1,1,34,16,"I liked how simple the exercise was. ","A challenge I had with the exercise is that was wasn't fully educated on the topics.",6,18,"Female","Caucasian/White","Freshman","92228","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3.5,"Pre",20,5,7,0.714285714285714,0.714285714285714,8
"67",2,3,4,5,21,-14,"I enjoyed reading the essays before answering the questions.","I had to look some words up to make sure I understood what they meant.",7,18,"Female","Caucasian/White","Freshman","92309","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.16666666666667,3,"Pre",20,-12,-50,6.28571428571429,5.85714285714286,11.5714285714286
"68",35,-40,-20,11,20,30,"I liked that it showed how American's felt about the topics in 2018.","Some challenges I had were understanding some of the questions. I had to reread them to understand. ",5,18,"Female","Caucasian/White","Freshman","91848","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.16666666666667,3.16666666666667,"Pre",41,-10,10,32.7142857142857,8.42857142857143,6.42857142857143
"69",26,-9,36,-24,16,7,"It was thought provoking.","Imagining what most people would think about an issue.",6,46,"Female","Caucasian/White","Junior","92141","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,2.5,"Pre",-10,-10,-8,0.714285714285714,20.5714285714286,1.14285714285714
"70",30,15,40,30,35,-10,"I enjoyed being shown the actual data after I had made my prediction.","Recalling the events in the year 2018 as I was in middle school at that point in time.",3,18,"Male","Caucasian/White","Freshman","91644","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.83333333333333,"Pre",35,-25,-41,27.8571428571429,47.1428571428571,12.2857142857143
"71",-1,18,8,-8,30,-10,"It talked about three topics that people could have varying opinions on. ","Feeling like some of the questions where very similar/asking the same thing. ",4,18,"Female","Caucasian/White","Freshman","91152","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3,"Pre",20,-16,-16,18.1428571428571,3.28571428571429,-10.1428571428571
"72",21,-32,22,-10,31,-7,"I liked how this exercise asked a set of questions, gave statistics, and then asked the questions again.","Analyzing how I feel about topics.",9,18,"Female","Caucasian/White","Freshman","91495","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3,"Pre",-6,36,-34,11.4285714285714,25,11.7142857142857
"73",21,-30,24,-50,11,8,"I liked how it informed me about the satistics of American's beliefs.","It was hard deciphering my opinions.",10,18,"Female","Caucasian/White","Freshman","91495","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.33333333333333,3.16666666666667,"Pre",-14,50,-14,13.4285714285714,44.8571428571429,10.5714285714286
"74",30,50,30,20,50,45,"I liked how many people agreed within the survey, that most of the choices were for and not against the reforms","seeing how AI is a ethical problem as i see it more as a tool to be used like a hammer and a nail",6,19,"Male","Caucasian/White","Freshman","91708","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.66666666666667,3.5,"Pre",50,50,50,21.4285714285714,30,0
"75",-38,21,15,-21,50,-21,"easy to read questions ","nothing",8,18,"Female","Caucasian/White","Freshman","92359","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.5,3.16666666666667,"Pre",6,-39,25,9.42857142857143,14.5714285714286,8.42857142857143
"76",-8,0,-13,7,14,-7,"It was interesting","JUst a lot to take in with the essays.",6,18,"Female","Caucasian/White","Freshman","92149","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.33333333333333,3,"Pre",27,13,-14,8.85714285714286,0.142857142857143,10.2857142857143
"77",11,8,10,7,12,-12,"I thought it was interesting","Lots of essays and I forgot stuff",6,18,"Female","Caucasian/White","Freshman","92149","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,4.5,"Pre",9,-12,12,5.28571428571429,0,-0.428571428571429
"78",0,30,-10,20,30,20,"How I was able to read about what people thought after first answering the questions then having a chance to change my answers","understanding what the questions were asking ",4,19,"Female","Caucasian/White","Freshman","92415","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.5,3.16666666666667,"Pre",30,-10,0,1.42857142857143,7.71428571428571,3
"79",13,44,28,39,42,35,"I liked reading the essays to learn about a different perspective.","Some of the wording in the questions were hard to understand.",6,18,"Male","Caucasian/White","Freshman","92160","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,2.66666666666667,"Pre",20,-18,-29,11,17.4285714285714,20.4285714285714
"80",10,1,20,-16,36,1,"these were some ideas that I haven't thought about in a while and I am somewhat knowledgeable and passionate about ","none",9,18,"Male","Caucasian/White","Freshman","91962","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,2.66666666666667,"Pre",0,25,11,7.57142857142857,28.4285714285714,18.7142857142857
"81",-18,12,14,16,7,17,"I liked that it asked more in depth questions about your perspective on each question.","I had trouble with the health penalty section because I honestly am unsure on my stance of it because I am unsure if we should have rehabilitation for those rather than receiving the death penalty.",6,19,"Male","Caucasian/White","Freshman","92514","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,3,"Pre",17,11,10,-2.71428571428571,4.71428571428571,2
"82",39,27,40,17,50,-31,"I liked the topics","It was hard to determine what my moral beliefs are",8,19,"Female","Caucasian/White","Freshman","92300","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.83333333333333,2.16666666666667,"Pre",19,16,25,26.2857142857143,1.71428571428571,-36
"83",20,25,15,20,35,-20,"I liked the essays and the results to the polls about the populations opinions. ","I did not have any challenges.",2,18,"Female","Caucasian/White","Freshman","92337","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,2.66666666666667,"Pre",45,-25,-50,25.7142857142857,31.4285714285714,33.5714285714286
"84",12,15,34,-50,22,10,"I liked the section where it gave the real statistics from past surveys in 2018 in comparison.","I would have liked to see more examples of each subject to put it into perspective, like the essays.",3,18,"Female","Caucasian/White","Freshman","92458","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.16666666666667,"Pre",40,-50,-26,13.2857142857143,29.7142857142857,30.7142857142857
"85",20,10,30,25,20,20,"I liked the poles and results for the population.","I did not have any challenges. ",1,18,"Female","Caucasian/White","Freshman","92337","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,3,"Pre",50,-20,-30,40.7142857142857,45,17.8571428571429
