"","in_uhc_familiar","in_uhc_change","in_cap_familiar","in_cap_change","in_ai_familiar","in_ai_change","Like_Free_R","Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","id","conv_cond","consen_cond","utilitarian","deontological","time","uhc_support","cap_support","ai_support","uhc_mconv","cap_mconv","ai_mconv"
"23",-22,15,19,6,20,14,"Understanding America's view on their stances for certain issues.","No challenges.",4,19,"Male","Caucasian/White","Freshman","92437","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,3.5,"pre",11,-10,-15,6,8.71428571428571,6.85714285714286
"24",-10,-15,30,-13,26,15,"I liked knowing the statistics of each of the topic statements. ","I had challenges with thinking about how most others would rate their agreeing or disagreeing with the statements. ",4,20,"Female","Caucasian/White","Junior","91873","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,3,"pre",30,-30,-21,24.4285714285714,22.7142857142857,19.8571428571429
"25",-50,0,20,-7,33,2,"The essays that I read, were interesting to learn about.","Understanding some of the questions and what they were asking, and the percentages to each essay.",3,19,"Female","Caucasian/White","Freshman","92475","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.5,3,"pre",40,-4,-31,12.4285714285714,-5.71428571428571,-8.14285714285714
"26",-21,35,-41,40,32,13,"I liked that it ask the questions, then I read the essays, then ask the questions again.","I didn't have any.",2,18,"Female","Caucasian/White","Freshman","91693","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,2.5,"pre",10,-20,32,-4,17.1428571428571,-21.1428571428571
"27",-28,15,11,11,19,-19,"I liked that there was a comparison of data from 2018 to 2024.","I had challenges understanding what some of the statements were implying.",5,19,"Female","Caucasian/White","Freshman","91411","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.16666666666667,"pre",10,-10,-31,14.7142857142857,27.7142857142857,6.14285714285714
"28",32,-27,36,-46,37,-28,"Finding out public perception","Thinking of ethical issues that I would be willing to compromise on, wording of question asking if there were important ethical aspects to *blank* without supporting the issue.",1,18,"Male","Caucasian/White","Freshman","92420","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.66666666666667,2.33333333333333,"pre",43,-46,-35,44.2857142857143,49.2857142857143,22.7142857142857
"29",-5,11,11,4,40,14,"It made me think about my perspective on certain things.","I'm not super opinionated so I don't have a lot to say about certain subjects or ideas that were mentioned. ",4,19,"Female","Caucasian/White,Hispanic/Latino(a)","Freshman","92202","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.5,3.16666666666667,"pre",13,-10,-21,-1,10.2857142857143,-1
"30",-27,32,-17,30,27,-20,"I liked the continuity, it made it easy to predict what questions would be next. ","It was hard to stay focused during the initial survey portion. ",4,18,"Male","Caucasian/White","Freshman","91625","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2.16666666666667,"pre",-11,-21,19,-3.57142857142857,20.8571428571429,0
"31",-30,30,-20,50,40,0,"I liked being able to guess the general populations ideas about Universal Healthcare, the death penalty and AI, and then seeing if I was correct or not. I also like studying psychology in general. ","I had challenges measuring my own ethical beliefs about the death penalty because it is a difficult subject to comprehend. ",2,18,"Female","Caucasian/White","Freshman","91168","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.33333333333333,2.5,"pre",50,0,0,33,37.1428571428571,22.8571428571429
"32",-30,26,32,-21,29,-36,"The essays given weren't too wordy or long.","Seeing the differences between some of the questions.",1,18,"Male","Caucasian/White","Freshman","92651","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,1.83333333333333,"pre",10,17,-42,7.85714285714286,12.8571428571429,27.4285714285714
"33",1,31,27,20,42,32,"It allowed me to reflect on certain issues","I generally don't have opinions so trying to form them was challenging ",4,18,"Female","Caucasian/White","Freshman","91181","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,3,"pre",8,0,20,9.85714285714286,4.28571428571429,1.85714285714286
"34",20,-32,50,0,41,0,"The prompts were different, but the questions stayed the same throughout each prompt.","deciding if i was using the number scale correctly",6,18,"Female","Caucasian/White","Freshman","91225","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,3.33333333333333,"pre",50,30,-30,21.2857142857143,22.4285714285714,20
"35",-40,0,41,-49,39,11,"I liked that it included aspects of what the public said about these issues. ","I did not really understand what to do with the slider when I was trying to pick the percentage of Americans who agreed with an issue. ",7,19,"Female","Caucasian/White","Sophmore","92444","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.33333333333333,3,"pre",21,-50,-48,28.2857142857143,30.8571428571429,9
"36",20,10,25,-10,22,10,"all based on personal opinion","none",5,19,"Female","Caucasian/White","Freshman","92323","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3,"pre",-10,25,-30,-4.71428571428571,-5,-17
"37",-10,21,22,-23,31,-10,"I liked the comparison between my answers to the general publics. It was genially surprising to see some of the statistics, especially the capital punishment and AI standpoints.","I didn't really have any challenges with this exercise.",2,18,"Male","Caucasian/White","Freshman","92114","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.66666666666667,2.83333333333333,"pre",27,-30,-30,11.1428571428571,31.7142857142857,19.8571428571429
"38",31,20,20,20,22,-10,"Getting to express my own opinion about things in the world ","Trying to decide if I was for or against some of the questions being asked",7,18,"Female","Caucasian/White","Freshman","92467","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,3,"pre",10,10,-11,5.85714285714286,9,17.7142857142857
"39",27,16,19,9,34,10,"I liked being able to read the actual material ","it was a little repetitive ",6,18,"Female","Caucasian/White","Freshman","91298","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,3.33333333333333,"pre",46,7,26,-1,7,-3.42857142857143
"40",1,1,1,1,1,1,"i liked learning about the government","none",2,18,"Female","Caucasian/White","Freshman","91969","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3,3,"pre",5,1,1,0.714285714285714,0.714285714285714,0.714285714285714
"41",-10,10,27,-28,38,17,"I liked the sliders to measure exactly how I felt. I also liked how it told me what percentages.","not much",6,20,"Male","Caucasian/White,Asian/Pacific Islander","Sophmore","91223","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,2.66666666666667,"pre",20,-20,12,-2.14285714285714,17.4285714285714,-7.28571428571429
"42",10,40,5,-30,43,-25,"I liked learning about how the majority of the population views these things.","Deciding how the world viewed the death penalty.",8,19,"Male","Caucasian/White,American Indian/Alaska Native","Freshman","91406","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3,"pre",9,15,25,31.4285714285714,25.2857142857143,9.42857142857143
"43",-25,21,30,11,40,27,"That the topics where relevant to today and well known  ","I don't like using the completely agree or disagree options because i feel like they are to harsh sometime  ",2,18,"Female","Caucasian/White","Freshman","91430","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,1.5,"pre",23,-4,-6,9.14285714285714,19.2857142857143,13.5714285714286
"44",29,50,23,50,50,-21,"I liked how it challenged me to be self-aware about where my opinions come from and how susceptible I am to persuasion.","It was hard to understand the purpose of some of the questions, because I lot were repetitive so I had to be careful to understand what each questions was asking and the purpose of the question to differentiate between meaning. ",2,18,"Female","Caucasian/White","Freshman","91918","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,1.5,"pre",50,-25,-50,25.5714285714286,13.2857142857143,21
"45",22,30,28,16,38,22,"The questions were straight forward and the essays gave a different perspective on the topics","I had no challenges",7,18,"Male","Caucasian/White","Freshman","91512","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,3.33333333333333,"pre",28,8,-5,22.4285714285714,19.4285714285714,18.7142857142857
"46",12,20,28,-4,27,-20,"It was fun to see how my thoughts changed and became stronger after seeing the populations stance. ","Remembering what I said before. ",2,19,"Female","Caucasian/White","Freshman","91227","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.83333333333333,"pre",21,-11,-22,13.8571428571429,10.1428571428571,13.1428571428571
"47",-4,19,-50,33,26,33,"I liked how there was a variety of question types.","I struggle to think about what my stance would be on certain topics.",4,18,"Female","Caucasian/White","Freshman","92324","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.66666666666667,2.16666666666667,"pre",21,10,-5,11.5714285714286,0.714285714285714,5.14285714285714
"48",6,13,9,16,29,25,"I liked the questions being asked. ","How repetitive questions were and the same format throughout.",4,18,"Male","Caucasian/White","Freshman","91924","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,2.66666666666667,"pre",22,28,-14,13.5714285714286,7.14285714285714,0.285714285714286
"49",-36,36,30,50,26,50,"Talking about the specific topics","Explain more the differences between the moral and ethical options",4,18,"Male","Caucasian/White","Freshman","91997","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.66666666666667,2.33333333333333,"pre",20,50,-38,18.2857142857143,29.7142857142857,2.42857142857143
"50",22,-21,18,7,31,-38,"I enjoyed that it gave paragraphs to read about what the US thinks about each topic and then we rated the responses off of that. ","I thought that having to compare moral principles and moral values was a little bit difficult to separate. ",7,19,"Female","Caucasian/White","Sophmore","92028","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.5,2.66666666666667,"pre",26,20,-43,0.857142857142857,34.2857142857143,23.7142857142857
"51",10,25,22,-19,24,20,"I liked the inclusion of the essays","I wish it was formatted to focus on one issue at a time. Universal health care, then death penalty, then AI",2,18,"Female","Caucasian/White","Freshman","91603","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.16666666666667,"pre",-5,-21,7,8.14285714285714,36.4285714285714,16
"52",1,20,17,8,12,13,"The questions were very specific and easy to answer","May of the question were very similar",7,20,"Female","Caucasian/White","Sophmore","92009","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.66666666666667,"pre",10,11,-6,2.28571428571429,-4.85714285714286,-2.85714285714286
"53",-40,28,-29,36,16,32,"I like how diverse it was ","I didn’t like how repetitive it was ",7,18,"Female","Caucasian/White","Other","91721","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,2.33333333333333,"pre",36,31,11,21.8571428571429,19.8571428571429,13.1428571428571
"54",13,11,37,-10,33,13,"I liked the different perspectives from 2018","none",2,21,"Female","Caucasian/White","Senior","92170","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,2.16666666666667,"pre",19,-31,-18,6.85714285714286,26.7142857142857,-0.428571428571429
"55",19,26,28,-10,37,-4,"I liked the different questions that were being asked. It made me think about my stance on certain issues.","I was a little confused on what some of the questions were asking and why some questions were repeated. ",1,18,"Female","Caucasian/White","Freshman","92153","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,3,"pre",50,-17,30,33.8571428571429,3,-13.7142857142857
"56",50,-40,-20,20,20,33,"everything","SONA credit granting",3,32,"Male","Asian/Pacific Islander","Other","63483","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,2.5,"pre",50,-39,26,43.8571428571429,13.7142857142857,-6.14285714285714
"57",22,28,24,21,22,31,"I liked that I got to choose how the options were morally important to me and read from essays. ","Some topics I view as more ethically important than others. ",6,18,"Female","Caucasian/White","Freshman","92262","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.33333333333333,3,"pre",39,42,26,20.7142857142857,39.4285714285714,13.2857142857143
"58",25,-20,41,1,40,1,"I liked that others' stances were shown on the topics given.","No challenges, just tough to pinpoint exactly where my stance was, as it was somewhat grey.",1,18,"Female","Caucasian/White","Freshman","92492","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,2.83333333333333,"pre",31,20,11,24.2857142857143,25.7142857142857,20
"59",0,20,1,1,34,16,"I liked how simple the exercise was. ","A challenge I had with the exercise is that was wasn't fully educated on the topics.",4,18,"Female","Caucasian/White","Freshman","92228","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3.5,"pre",20,5,7,0.714285714285714,0.714285714285714,8
"60",2,3,4,5,21,-14,"I enjoyed reading the essays before answering the questions.","I had to look some words up to make sure I understood what they meant.",5,18,"Female","Caucasian/White","Freshman","92309","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.16666666666667,3,"pre",20,-12,-50,6.28571428571429,5.85714285714286,11.5714285714286
"61",35,-40,-20,11,20,30,"I liked that it showed how American's felt about the topics in 2018.","Some challenges I had were understanding some of the questions. I had to reread them to understand. ",3,18,"Female","Caucasian/White","Freshman","91848","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.16666666666667,3.16666666666667,"pre",41,-10,10,32.7142857142857,8.42857142857143,6.42857142857143
"62",26,-9,36,-24,16,7,"It was thought provoking.","Imagining what most people would think about an issue.",4,46,"Female","Caucasian/White","Junior","92141","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,2.5,"pre",-10,-10,-8,0.714285714285714,20.5714285714286,1.14285714285714
"63",30,15,40,30,35,-10,"I enjoyed being shown the actual data after I had made my prediction.","Recalling the events in the year 2018 as I was in middle school at that point in time.",1,18,"Male","Caucasian/White","Freshman","91644","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.83333333333333,"pre",35,-25,-41,27.8571428571429,47.1428571428571,12.2857142857143
"64",-1,18,8,-8,30,-10,"It talked about three topics that people could have varying opinions on. ","Feeling like some of the questions where very similar/asking the same thing. ",2,18,"Female","Caucasian/White","Freshman","91152","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3,"pre",20,-16,-16,18.1428571428571,3.28571428571429,-10.1428571428571
"65",21,-32,22,-10,31,-7,"I liked how this exercise asked a set of questions, gave statistics, and then asked the questions again.","Analyzing how I feel about topics.",7,18,"Female","Caucasian/White","Freshman","91495","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3,"pre",-6,36,-34,11.4285714285714,25,11.7142857142857
"66",30,50,30,20,50,45,"I liked how many people agreed within the survey, that most of the choices were for and not against the reforms","seeing how AI is a ethical problem as i see it more as a tool to be used like a hammer and a nail",4,19,"Male","Caucasian/White","Freshman","91708","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.66666666666667,3.5,"pre",50,50,50,21.4285714285714,30,0
"67",-38,21,15,-21,50,-21,"easy to read questions ","nothing",6,18,"Female","Caucasian/White","Freshman","92359","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.5,3.16666666666667,"pre",6,-39,25,9.42857142857143,14.5714285714286,8.42857142857143
"68",-8,0,-13,7,14,-7,"It was interesting","JUst a lot to take in with the essays.",4,18,"Female","Caucasian/White","Freshman","92149","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.33333333333333,3,"pre",27,13,-14,8.85714285714286,0.142857142857143,10.2857142857143
"69",0,30,-10,20,30,20,"How I was able to read about what people thought after first answering the questions then having a chance to change my answers","understanding what the questions were asking ",2,19,"Female","Caucasian/White","Freshman","92415","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.5,3.16666666666667,"pre",30,-10,0,1.42857142857143,7.71428571428571,3
"70",13,44,28,39,42,35,"I liked reading the essays to learn about a different perspective.","Some of the wording in the questions were hard to understand.",4,18,"Male","Caucasian/White","Freshman","92160","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,2.66666666666667,"pre",20,-18,-29,11,17.4285714285714,20.4285714285714
"71",10,1,20,-16,36,1,"these were some ideas that I haven't thought about in a while and I am somewhat knowledgeable and passionate about ","none",7,18,"Male","Caucasian/White","Freshman","91962","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,2.66666666666667,"pre",0,25,11,7.57142857142857,28.4285714285714,18.7142857142857
"72",-18,12,14,16,7,17,"I liked that it asked more in depth questions about your perspective on each question.","I had trouble with the health penalty section because I honestly am unsure on my stance of it because I am unsure if we should have rehabilitation for those rather than receiving the death penalty.",4,19,"Male","Caucasian/White","Freshman","92514","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,3,"pre",17,11,10,-2.71428571428571,4.71428571428571,2
"73",39,27,40,17,50,-31,"I liked the topics","It was hard to determine what my moral beliefs are",6,19,"Female","Caucasian/White","Freshman","92300","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.83333333333333,2.16666666666667,"pre",19,16,25,26.2857142857143,1.71428571428571,-36
"74",20,25,15,20,35,-20,"I liked the essays and the results to the polls about the populations opinions. ","I did not have any challenges.",2,18,"Female","Caucasian/White","Freshman","92337","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,2.66666666666667,"pre",45,-25,-50,25.7142857142857,31.4285714285714,33.5714285714286
"75",12,15,34,-50,22,10,"I liked the section where it gave the real statistics from past surveys in 2018 in comparison.","I would have liked to see more examples of each subject to put it into perspective, like the essays.",1,18,"Female","Caucasian/White","Freshman","92458","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.16666666666667,"pre",40,-50,-26,13.2857142857143,29.7142857142857,30.7142857142857
"76",-22,-14,-20,26,49,16,"Things I liked about this exercise is that I could answer with my opinion on whether or not I disagreed with the prompt or agreed with it. ","During this exercise the challenges I had to face was putting my beliefs into a this survey and answering truthfully. ",7,18,"Female","Caucasian/White","Freshman","91139","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.5,2.66666666666667,"pre",10,11,37,4.85714285714286,8.85714285714286,-6.71428571428571
"77",23,25,20,15,24,29,"I enjoyed the repetition and the perspective shift that allowed me to check my consistency.","The challenge was being consistent with my answers.",4,40,"Female","Other","Sophmore","92706","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3.66666666666667,"pre",19,-35,33,18.5714285714286,22,4.57142857142857
"78",50,20,-50,3,46,37,"Was dealing with up to date issues ","very repetitive",8,18,"Male","Caucasian/White","Freshman","91882","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,4,"pre",-48,-50,-50,-4.14285714285714,-0.285714285714286,29.8571428571429
"79",-24,16,22,21,11,11,"Thought provoking","Thinking about my stance on current issues",4,35,"Female","Caucasian/White","Junior","92627","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2,"pre",32,-6,50,42.7142857142857,34.1428571428571,-37.5714285714286
"80",-36,6,23,-50,37,13,"I enjoyed being able to read about the issues to grow my knowledge ","Comprehending the question a little bit",2,18,"Female","Caucasian/White","Freshman","91270","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.16666666666667,"pre",50,-50,20,-15,42.1428571428571,-12.8571428571429
"81",20,38,28,-50,50,6,"I liked the wider range of choices I had. ","I think it is hard to scale some of the opinions asked for, but it was better than having multiple choice options.",2,19,"Female","Caucasian/White","Freshman","92184","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,4.16666666666667,"pre",32,-50,-33,41.7142857142857,44.2857142857143,35.7142857142857
"82",19,15,50,20,10,13,"Seeing the percentages of the populations agree and disagree about certain topics of issues","I was not able to express why I choose certain sides on problems",1,18,"Female","African-American/Black,Hispanic/Latino(a)","Freshman","91852","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,2.66666666666667,"pre",27,11,-20,21,-6.85714285714286,-19.1428571428571
"83",10,25,25,15,45,-10,"The moral choices","Repetivity",4,18,"Male","Caucasian/White","Freshman","91457","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.33333333333333,2.5,"pre",20,10,-10,10.8571428571429,22.8571428571429,27.1428571428571
"84",-30,34,-10,20,20,10,"It was interesting to estimate what the general public believed in 2018 and then compare it to the true beliefs at the time. ","It can be hard to mark your level of agreement on controversial topics. ",2,18,"Female","Caucasian/White","Freshman","92410","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.16666666666667,2.5,"pre",30,13,-11,17.4285714285714,10.4285714285714,18.8571428571429
"85",32,-10,-30,20,40,6,"I liked that I was able to range my opinions from strongly agree to strongly disagree. ","Knowing whether I felt like my opinion was good enough or right. ",5,18,"Female","African-American/Black","Freshman","91680","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,3,"pre",42,-15,-10,4.14285714285714,3.71428571428571,6.57142857142857
