"","X","Duration..in.seconds.","Pre_P1","Pre_P2","Pre_P3","Pre_P4","UTIL_1","UTIL_2","UTIL_3","UTIL_4","UTIL_5","UTIL_6","DEON_1","DEON_2","DEON_3","DEON_4","DEON_5","DEON_6","SILS_1_1","NLINE","SNS_SCORE","condition","P1","P2","P3","P4","Suprise_1","Suprise_2","Suprise_3","Suprise_4","GSS_1","GSS_2","GSS_3","GSS_4","CRR_1","CRR_2","CRR_3","CRR_4","Age","Gender","Race","School_Year","Like_Free_Response","Hard_Free_Response"
"18",44,336000,70,95,65,85,4,4,3,3,4,4,2,3,3,4,4,4,4,1.01366192404087,4.125,"High",70,95,75,85,1,3,2,4,65,95,54,70,50,95,70,80,18,2,"1,3",1,"I liked how I could see the difference between the different year's studies and how they slightly changed. I also liked how I could voice my own opinion about these topics. ","A challenge I had was determining if over the years people would agree with something more of less depending where they live and what their beliefs are. "
"19",48,457,100,72,66,100,5,5,5,3,5,5,2,1,3,3,4,2,5,0.911928590707538,4.75,"High",100,62,57,100,4,4,1,1,87,55,52,100,89,56,59,100,20,1,"1",3,"I liked how it showed what the general public showed on these statements.","None."
"20",50,5920,80,70,10,100,4,4,4,4,5,5,2,2,2,2,3,2,4,0.530706368485316,5,"High",90,80,10,100,4,4,5,1,48,35,30,2,95,91,30,100,20,1,"1",3,"I liked how I had to compare responses from 2018 to the current time since it is interesting how topics/opinions of the public can change so significantly over the course of a few years.","I realized halfway in I didn't fully read and understand the prompt it was asking me so the beginning responses on the sliding bar question may have not been as accurate as I would have answered."
"21",52,930,71,55,60,100,4,4,5,3,4,5,2,2,3,3,2,4,2,1.19148694813958,4.125,"High",50,66,70,100,1,3,5,1,78,61,35,90,90,87,40,95,20,1,"1",3,"I thought it was interesting to see honestly how similar we really are as a nation on a lot of different issues.","In the US there is such a broad understanding of a lot of different issues we have in the world and trying to understand from those different point of views made it difficult to see how others would have voted."
"22",57,1298,100,100,15,100,4,5,4,3,5,5,3,3,2,2,4,4,5,0.61327926225821,4.125,"High",100,100,55,100,1,4,2,2,63,43,73,90,76,85,76,99,18,2,"1",1,"It was interesting to reflect on how I viewed the public opinion in 2018 and what the actual public opinion was. It was also interesting to see how I view societal concepts compared to how the general public views them. ","It was difficult to think about how the general public would think in 2018, I was younger and not as involved in political issues during that time, so I had little to no concept of what the average American would think. "
"23",59,603,50,90,1,100,4,4,3,4,4,3,2,2,3,3,4,2,4,3.71089500674764,3.25,"High",100,86,2,100,1,2,5,1,81,100,41,91,100,74,72,1,18,2,"1",1,"N/A","Thinking about what Americans voted in 2018. "
"24",62,667,85,90,50,100,4,4,3,4,5,4,2,2,2,2,2,2,1,3.07354409099672,3.5,"High",85,84,90,100,3,1,5,1,91,96,20,99,82,90,70,98,18,2,"1",1,"All the questions we were asked were only slightly different each time, but what we were asked to rate stayed the same. It gave us options that stayed consistent so there was no need to continue re-reading new information every time we went to a new question. ","The United States is so divided that I didn't know whether to head in the agree or disagree sections when it came to giving a general estimate on the population's response percentage. "
"25",63,3014,100,100,100,100,3,3,5,3,5,5,3,5,3,1,5,3,3,1.82320440845704,5.375,"High",100,100,100,100,1,1,1,1,100,100,100,100,100,100,100,100,18,2,"1",1,"I liked that it made me think about what life was like in the past and how things have changed over time.","It is hard to remember what things happened in what year and to notice what things have changed. "
"26",66,547,100,100,50,100,2,2,5,3,3,5,3,3,3,3,2,3,3,0.810007955786903,4.75,"High",100,100,50,100,4,5,4,2,50,40,50,90,80,90,90,100,18,NA,"1,5",1,"I was pleasantly surprised with the results of the survey of the general population and I liked expressing my opinions on the issues","Some questions I didn't have an opinion on"
"27",67,639,30,100,1,100,1,4,4,2,4,5,4,4,4,2,2,3,2,1.55450636848532,2.375,"High",20,100,1,100,1,2,5,1,70,100,40,100,90,100,40,100,19,2,"1",2,"Easy to read and understand","Couldn't put 0 for strongly disagree- had to put 1"
"28",70,10175,100,82,30,100,4,5,5,5,5,5,1,3,1,2,3,3,4,0.887246051024998,4.75,"High",100,80,21,100,2,5,1,1,50,40,80,100,85,51,61,100,18,1,"1",1,"Ease of operation","Deciding between numbers (ex: deciding wether to put 86% or 87%)"
"29",71,778,100,100,30,100,4,4,5,4,4,5,1,1,1,2,2,4,4,4.34809851551957,2.25,"High",100,100,20,100,1,1,1,1,40,60,70,90,85,90,40,100,18,2,"1,5",1,"The questions were pretty simple.","None."
"30",74,710,80,80,30,100,3,4,5,3,4,5,2,2,3,3,4,4,3,4.31003648865754,4,"High",85,75,35,100,3,4,1,1,71,50,82,100,88,71,90,100,18,2,"1",1,"Quick and most questions are pretty easily understood. ","Some of the questions were difficult to understand at first, but were more understanding after a second reading. "
"31",75,624,100,73,30,100,4,4,4,4,4,5,2,3,2,2,3,3,3,0.636414304993252,5.25,"High",85,71,26,100,4,4,4,2,57,64,44,95,82,90,62,99,19,1,"1",1,"It gave the information afterI guessed.","I didn't have any."
"32",77,907,100,100,30,100,4,5,5,4,4,5,3,4,3,4,3,4,4,1.60561393226656,4.375,"High",100,100,31,100,4,3,1,1,61,40,85,67,91,96,74,100,18,3,"2",1,"I liked that it was short","I experienced no challenges with the exercise I completed

"
"33",80,654,59,84,65,100,3,4,5,4,4,5,4,3,3,2,4,2,4,4.44746008611272,3.875,"High",67,55,31,100,2,1,4,1,40,50,28,80,81,74,51,100,18,2,"1",1,"getting to see the results of the past study in 2018","maybe having examples of what some of the questions mean "
"34",81,794,63,83,17,100,4,5,4,3,4,5,1,1,3,2,4,4,5,1.79716351134246,4.5,"High",72,91,24,100,2,1,5,1,68,73,20,79,90,61,27,100,18,2,"5",1,"I liked how I was above to guess how average American think on different problems and then I was able to see the correct numbers. It really made me realize the world we live in.","I was struggling to think for society as I whole without my views getting involved."
"35",83,643,71,61,40,0,4,4,5,3,5,4,2,3,3,4,2,4,4,0.658506368485316,4.5,"High",70,85,30,100,1,1,5,1,71,91,10,0,80,60,80,90,19,1,"1",1,"Being able to compare my results to those from the past and the present ","I misunderstood one of the questions and got it very wrong and some of the other questions were a little confusing "
"36",85,955,54,62,11,100,3,3,4,3,4,4,3,2,2,3,2,4,3,0.7628002313476,3.75,"High",76,92,7,100,1,1,4,1,82,87,30,93,91,92,54,100,19,2,"1",2,"That the exercise gave the actual percentages of the previous topic.","repeated questions."
"37",88,2088,100,100,0,100,2,2,5,4,5,5,3,3,2,1,1,2,5,1.01107291305186,5.125,"High",100,100,0,100,4,4,1,1,80,80,60,100,86,89,87,100,19,2,"1",2,"I liked guessing what the percentage of people who answered the prompt agreed and disagreed.","none"
"38",89,734,86,70,27,100,4,4,4,4,3,5,3,2,3,3,3,3,3,2.99490453055716,3.375,"High",71,74,13,100,1,2,5,1,52,73,30,82,90,82,7,100,18,2,"1",1,"I liked sharing my own opinions as well as learning about others opinions.","Deciding which choices to make and what I truly think about each decision. "
"39",92,954,73,51,2,100,4,4,4,4,4,4,2,2,3,3,4,3,4,0.775873118694171,4.875,"High",72,80,2,100,4,4,4,1,35,50,60,85,70,90,60,93,18,2,"2",1,"I enjoyed getting the actual statistics back from 2018 because I feel like I was able to actually learn more about society than I thought I already knew.","I felt as though some topics i knew hardly anything about so I had to do with what little knowledge I had on a subject to answer a question"
"40",94,714,69,100,35,100,4,4,5,4,5,5,1,1,3,3,4,2,4,1.60091906689801,4.625,"High",31,100,29,100,1,2,5,1,89,100,57,100,28,100,71,100,19,2,"1",2,"being able to see what other people thought about ""hot topics"" about our country","trying to estimate what is going on in other people's minds"
"41",96,1245,100,95,0,100,4,4,5,5,5,5,2,3,1,1,4,2,4,0.453061924040871,4.75,"High",100,100,0,100,1,4,5,1,81,50,45,100,85,80,70,100,18,3,"1",1,"I liked being able to look back at the big-picture American opinion and guess whether or not it has changed.","I wasn't sure how strongly polarized certain dividing topics (such as the death penalty) would be."
"42",97,1182,70,100,75,100,5,4,3,3,4,5,2,2,3,2,3,4,3,0.999884480431849,4.25,"High",80,100,50,100,3,1,4,1,50,90,60,100,75,91,75,100,18,1,"2",1,"I could see the results of Americans and see their outlook on these problems","Finding just the right number on how much I agreed"
"43",99,750,61,44,58,100,4,4,5,4,5,4,2,2,3,4,2,3,3,0.939338114517062,3.25,"High",69,46,60,100,1,3,5,1,70,53,37,93,78,83,60,99,20,2,"1,4",2,"It was easily understandable","Attempting to estimate what the entire nation believes was kind of difficult."
"44",101,1106,90,42,10,100,4,3,4,2,4,5,1,4,2,1,4,2,5,4.09029012274275,3.375,"High",90,40,20,100,2,3,4,1,40,10,5,0,85,90,40,100,18,2,"1",1,"The discussion of relevant issues and how Americans stand on those issues","I read some of the questions wrong, so some of my answers aren't correct to what I believe "
"45",104,290,85,81,52,100,4,4,4,3,2,4,4,3,3,4,4,3,3,3.98121393226656,3.5,"High",87,92,81,100,4,3,4,1,84,80,51,100,82,85,92,100,19,1,"6",2,"It gave me a chance to think about an issue and then compare my thoughts to the thoughts of others to try and think about how opinions do differ for situations. ","I wish I could've gotten reasoning behind some of the choices or why those percentages were the way they were. Having background would have allowed me to gain a more well rounded opinion. "
"46",105,753,82,100,50,100,3,4,5,2,3,5,2,3,4,3,3,3,5,5.62636802262065,3.75,"High",100,100,58,100,1,1,4,1,60,80,58,100,90,99,43,99,21,2,"1",4,"I like the set up of the survey, it was easy to follow. ","I had trouble comprehending what is was asking me sometimes. "
"47",108,461,50,82,67,100,5,5,5,5,5,5,2,3,2,2,4,4,5,0.918825499646552,3.875,"High",68,64,67,100,1,2,1,1,51,67,58,100,100,91,45,100,18,2,"1,5",1,"I liked seeing the real results from surveys after I had guessed their responses. ","I did not have any challenges with the exercise. "
"48",109,605,74,42,0,100,4,4,4,4,4,4,2,4,2,2,3,4,4,0.763961673414305,3.375,"High",74,72,0,100,3,4,4,1,36,45,31,84,73,75,66,100,18,2,"1",1,"seeing the actually statistics right after submitting them","guessing how other people felt"
"49",111,1542,33,1,2,100,4,3,5,4,1,5,2,3,1,5,4,2,4,3.56118389563653,4.625,"High",54,1,1,100,1,5,5,1,61,51,39,92,73,71,61,99,20,2,"1",3,"I wouldn't say that I liked the exercise. ","I was surprised how many people wanted free healthcare in the US because I think that's ridiculous. "
"50",113,948,65,80,80,100,3,4,4,4,3,5,3,2,2,3,2,3,2,6.94499839341945,3.875,"High",90,100,71,100,2,1,1,1,50,90,60,95,70,90,70,100,18,2,"1,4",1,"Being able to show/have my own opinion without being judged.","Deciding what percentage to choose for every question."
"51",115,687,75,78,28,100,5,5,5,4,5,5,2,3,3,3,4,4,4,4.80345691150954,3.375,"High",83,94,52,98,2,1,4,1,86,89,3,96,95,98,68,99,19,2,"1",1,"The difference in green house gas and different american issues and how have opinions changed throughout the years past on how many people agree or disagree on them.","Trying to remind myself how times were different in the past and how opinions might be different."
"52",118,758,52,62,2,1,3,3,3,3,3,3,4,4,4,3,5,5,4,4.07521430499325,2.875,"High",70,60,3,100,3,1,5,1,56,54,2,2,60,100,60,100,19,2,"1",1,"I liked to see who agreed with what statements where presented and what the precent was of what people agreed with ","seeing how people agree with the death penalty. "
"53",121,1003,60,70,0,100,3,3,4,3,4,4,2,3,3,3,3,3,4,1.43274262579526,3.5,"High",70,85,0,100,2,1,5,1,70,60,30,95,75,85,60,99,18,2,"1",1,"It was really interesting to rank the statements on how I felt and then to see what the rest of the population thought.","I was unfamilar with some of the environmental issues I was asked to rank. "
"54",122,853,54,57,50,100,2,5,3,4,5,2,1,2,3,4,5,2,5,6.83832821798085,3.5,"High",2,69,50,100,1,1,4,1,14,66,50,100,81,88,65,100,18,2,"1",1,"I think it was cool to see the different variations of people's thoughts especially on the topic of the death penalty and health care. I like that it showed the percentages after each guessing round.","It was hard for me to choose my own stance on some of the issues, especially the death penalty. This is why I put neither agree nor disagree because I have such mixed feelings about it but my strongest feeling about it is that I don't feel that religiously god would want us to do that to someone but at the same time depending on what they did..."
"55",125,1248,100,80,30,100,3,4,5,4,5,5,2,3,2,4,4,2,5,1.55680123385387,5.5,"High",100,70,20,100,1,1,1,1,70,50,70,95,75,81,70,100,19,2,"1",2,"I liked how I answered the questions from multiple perspectives. ","It got repetitive"
"56",127,356,1,2,100,100,3,3,2,3,4,4,1,4,5,5,2,4,3,1.16898536083799,5,"High",24,17,100,100,1,1,1,1,64,67,7,76,75,83,29,89,18,1,"1,5",1,"Showed what other people believed.","None."
"57",129,414,100,100,7,100,5,5,5,4,5,5,1,1,1,1,3,3,2,3.68304137266243,3.5,"High",100,100,31,100,2,2,3,1,100,100,3,100,100,100,2,100,18,1,"5",1,"I was surprised as to how much and how little things changed.","I had to think of what others would have thought and to be honest my reaction to the times didn't really change my answer."
"58",131,604,70,60,80,100,4,4,5,4,3,3,4,4,4,5,4,4,3,5.21551756313862,4.875,"High",80,80,80,100,4,1,1,1,81,70,81,100,70,81,91,100,18,2,"1",1,"A lot of world agrees with my answers I put in. This could help create change in the world.","That some people don't agree that slavery is human trafficking."
"59",133,542,79,4,46,100,4,4,5,2,5,5,1,5,3,5,5,5,4,4.15768093310199,4.375,"High",65,64,85,100,3,3,1,1,47,49,51,100,47,68,84,80,18,2,"1",1,"that it repeated the same questions","paying attention to long paragrahs being repeated "
"60",134,430,100,70,0,100,5,5,5,5,5,5,1,2,2,3,3,2,4,1.0159952573742,4.5,"High",100,90,0,100,4,5,5,2,39,20,40,99,97,95,18,100,18,2,"1",1,"I liked being able to see the results of the 2018 opinions ","I did not think there were any challenges "
"61",137,932,100,60,20,100,3,4,5,3,4,4,2,2,4,3,3,3,4,0.555106368485316,4.5,"High",100,65,25,100,2,4,5,1,75,59,45,98,82,85,75,99,19,2,"1",1,"I liked being able to see the true percentage of people in 2018 who agreed with the statements after I had guessed. ","It was a little difficult trying to think of how I think the general population would answer, as most of the people in my life would answer differently for some questions. "
"62",138,3117,100,58,50,100,4,4,4,4,4,3,2,3,3,3,3,3,4,1.10399171004434,4.375,"High",100,48,48,100,2,4,4,1,61,39,40,71,90,79,81,100,18,2,"1",1,"I liked that after I guessed what percentage of Americans believed in those prompts, I got to see what the actual results were and how far off my predictions were. ","It was hard for me to determine sometimes how to make decisions about ethics, so in that case I left it is unsure. "
"63",141,738,100,41,21,100,4,4,5,3,2,5,2,2,1,2,3,2,4,0.402850562303194,4.125,"High",100,50,19,100,3,4,4,1,87,41,50,100,90,50,30,100,18,2,"1",1,"I liked that it made me think about what other people around think about ethical issues and that it surprised me with the information about what others think. It was also easy to understand the instructions.","I did not have any challenges with the exercise."
"64",143,820,100,51,52,100,5,5,4,5,5,5,1,3,3,2,3,5,4,1.96685240023135,4.125,"High",100,50,63,100,5,1,5,2,98,50,31,100,100,51,64,100,19,2,"1",1,"I liked how after seeing everyone else’s responses the survey asked the same questions again to see if participants would change their response.","I felt as though it was hard to answer one or two of the questions because they made you really think."
"65",145,771,80,100,50,100,3,4,2,4,5,4,2,3,2,1,1,3,3,2.9382826425037,4,"High",87,100,83,100,1,1,2,1,60,81,50,100,80,91,67,100,18,2,"1,5",1,"I like how I had to think about different world problems from different perspectives","Thinking back to 2018 because I wasn't very politically educated at that time"
"66",146,817,85,90,0,100,3,3,4,4,4,4,1,3,3,3,3,3,2,1.24947291305186,3.625,"High",93,92,2,100,1,2,5,1,70,80,40,70,87,87,74,100,18,2,"1",1,"I liked the estimating what people put for the survey and comparing it to what I think ","Guessing what the population's views on certain topics"
"67",148,936,100,50,0,100,3,4,4,4,4,5,1,3,3,3,3,4,4,1.91551902834008,3.375,"High",100,49,0,100,3,4,4,1,80,50,40,85,90,90,75,95,18,2,"1",1,"The topics being discussed. ","None"
"68",151,587,70,62,53,100,4,4,4,4,4,4,2,2,2,4,2,4,5,0.835983895636527,3.625,"High",73,64,52,100,1,1,4,1,61,39,61,72,64,71,72,100,18,2,"3",1,"It was short","none"
"69",153,886,70,75,15,100,3,4,4,3,4,5,2,2,3,3,1,3,4,0.541142754321702,4.75,"High",70,90,25,100,2,3,5,1,60,55,45,95,80,85,75,99,18,1,"6",1,"I liked how I was able to compare what I thought to the actual percentages from the 2018 survey.","I had no challenges with the exercise I just completed."
"70",155,528,94,50,0,100,3,3,3,3,5,5,2,2,3,3,4,4,4,1.17721393226656,3.75,"High",100,50,3,100,3,1,1,4,60,100,70,33,100,59,14,100,19,2,"2",2,"I liked that we could see others opinions. ","I did not like the fact that the dearth penalty one ranked so high."
"71",157,676,49,19,100,100,2,3,4,4,3,4,1,3,3,3,2,4,4,3.52048243686138,3.125,"High",49,28,99,100,2,3,1,1,29,60,80,99,84,77,70,100,18,2,"1",1,"it made me think about my opinions ","none"
"72",160,581,100,80,27,100,4,4,5,3,4,5,3,2,4,2,3,4,2,1.93194128912024,3.375,"High",100,97,20,93,1,1,5,5,70,70,40,40,86,94,51,83,18,2,"3",1,"I liked that I also got to see what people in the U.S chose.","While answering the questions, sometimes I thought about what other people would pick so I kind of chose based on that. "
"73",162,1172,86,87,42,100,4,3,5,5,4,5,1,2,1,1,4,3,4,0.479480971659919,4.875,"High",100,85,25,100,5,5,1,1,61,30,81,91,96,80,71,100,18,2,"1",1,"I liked that I was able to see how the US's population's opinions were only a few years ago.","I would like to know what the statistics show for public opinion on these issues now. I also thought it was strange that I voted again after seeing the data of others."
"74",164,1019,81,70,10,100,3,3,4,4,3,3,2,1,3,3,4,4,4,3.93881430499325,3.75,"High",80,71,0,100,4,1,5,2,95,89,15,100,81,75,0,100,19,1,"5,6",1,"seeing how other people views are different then mine","attention spam "
"75",165,547,1,1,53,1,4,4,4,3,4,5,5,3,2,3,4,4,3,5.31433807595913,1.875,"High",100,82,37,100,4,4,4,4,31,61,24,1,100,93,10,100,18,2,"1",1,"The stats.","none"
"76",168,485,36,50,0,100,5,5,5,5,4,5,1,3,1,1,3,3,5,1.31420440845704,3.75,"High",11,11,0,100,5,1,1,1,20,0,0,100,83,94,21,100,18,2,"1",1,"It was quick and concise","I do not like the sliding bar ratings"
"77",170,689,64,30,10,0,1,4,2,5,4,4,1,3,3,4,4,1,4,0.683061924040871,5.125,"High",60,30,71,100,1,1,4,1,80,81,1,20,93,86,60,99,18,1,"1",1,"It made me think about my opinion on things that I don't commonly reflect on. ","It was repetitive. "
"78",172,665,52,36,67,100,4,4,5,4,5,3,2,2,3,1,4,4,3,3.71611722896986,3.875,"High",71,61,78,100,2,3,1,1,61,58,76,100,67,85,74,99,19,2,"1",1,"Just a few questions but asked in different ways.","none."
"79",173,768,90,85,10,100,4,4,4,3,4,4,1,3,3,2,2,4,2,1.62248243686138,3.125,"High",90,85,8,100,2,1,4,1,75,70,25,100,87,92,75,100,18,2,"1",1,"I liked the survey format. Very easy to understand and complete. ","Not really any challenges. "
"80",176,571,92,96,0,100,3,4,5,3,4,4,1,2,2,2,4,3,3,1.86651869417133,2.875,"High",95,100,0,100,1,1,4,2,60,82,30,95,93,92,35,100,18,2,"1,2,5",1,"It listed several issues that are still relevant in today's society.","Some of the phrasing of the choices was a little hard to follow."
"81",177,433,99,79,27,100,4,4,4,3,3,4,3,3,2,3,3,3,4,4.11037119722383,2.375,"High",93,92,33,100,4,1,4,1,66,42,68,94,98,100,47,100,18,2,"1",1,"That they showed up the results form 2018","Thinking of how people from the past would feel about the issues "
"82",180,224,39,53,15,46,3,2,3,4,2,2,3,3,3,2,2,4,4,4.32544287642182,3.5,"High",63,41,63,87,2,3,3,2,44,73,64,49,35,53,45,90,19,2,"1",2,"variations of questions ",NA
"83",181,499,100,100,2,100,2,2,5,4,5,5,1,2,4,2,4,2,4,2.4649616734143,4.875,"High",100,100,2,100,2,4,5,2,75,44,47,85,92,75,73,99,18,3,"1",1,"Seeing the opinions of other Americans compared to mine.","Estimating what I thought other people would generally believe working through my own biases.
"
"84",184,337,61,62,53,100,4,4,5,3,4,4,3,3,3,3,3,3,5,1.60046192404087,4,"High",61,62,54,100,2,2,2,1,55,55,43,100,81,83,53,100,18,1,"2",1,"It shows the rest of the population and how they think.","None"
"85",186,1309,100,100,70,100,5,5,5,4,5,5,2,3,2,2,4,4,4,3.03367107512371,3.125,"High",100,100,95,100,4,4,3,1,90,100,40,100,100,100,100,100,19,2,"5",1,"it was overall easy and straight to the point of what it was asking and how i needed to answer ","i didnt have any challenges "
"86",188,502,60,50,75,0,3,3,3,4,3,2,4,2,2,3,2,3,1,4.23501744103849,2.375,"High",80,40,95,100,1,1,1,1,60,20,75,0,75,40,80,100,19,2,"1",1,"Makes you think","Not offending someone"
"87",189,879,46,30,100,100,4,5,5,4,5,4,1,2,3,4,3,4,5,0.776458749437697,5.625,"High",61,30,100,100,1,2,5,1,84,89,21,100,87,85,40,100,19,1,"1",1,"I liked the slider because it made the activity more enjoyable. I also liked seeing what the trends were in 2018","It was hard to try and think about what the general public might have thought about in 2018...especially because I don't watch the news. "
"88",192,604,37,23,35,96,4,4,4,3,4,2,3,3,3,2,2,2,4,0.679506368485316,4.875,"High",50,36,41,98,4,4,2,1,54,44,42,90,76,87,94,100,21,1,"1",4,"I liked seeing the actual percentage that Americans picked for these issues.","I did not have any challenges with this."
"89",193,1597,75,45,35,90,4,4,5,3,4,3,3,4,1,2,2,3,4,0.606068273247221,4.625,"High",100,100,30,100,1,4,4,3,70,30,40,75,91,91,86,99,35,1,"1",4,"An interesting reminder that the general public doesn't have as ""bad"" of opinions as I worry.","I'm not positive I read the first question correctly. That's just a me/adhd issue though. I would generally prefer for definitions behind certain terms, such as ethical and moral from this survey, be clearly defined as part of the survey to ensure everyone is working from the same definitions."
"90",195,502,21,80,68,98,1,2,4,4,4,4,4,2,2,4,3,4,4,1.67707291305186,4.25,"High",51,97,96,100,5,2,3,1,30,71,59,92,94,96,94,100,18,1,"1",1,"Getting statistical feedback. ",NA
"91",198,866,100,90,70,100,5,5,5,5,4,5,2,3,2,3,4,4,4,2.13531551956815,3.625,"High",84,90,60,100,2,3,4,1,60,60,60,85,80,70,70,95,18,2,"1",1,"How it told me what the opinions were after I had guessed","Guessing what others thought because there are so so many people in America with such different views."
