"","X","in_uhc_supp","in_uhc_familiar","in_uhc_change","in_cap_supp","in_cap_familiar","in_cap_change","in_ai_supp","in_ai_familiar","in_ai_change","fn_uhc_supp","fn_cap_supp","fn_ai_supp","Like_Free_R","Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","id","conv_cond","consen_cond","utilitarian","deontological","in_uhc_conviction","in_cap_conviction","in_ai_conviction","fn_uhc_conviction","fn_cap_conviction","fn_ai_conviction","uhc_cat","cap_cat","ai_cat"
"29",29,13,-5,11,-10,11,4,-21,40,14,29,-20,-10,"It made me think about my perspective on certain things.","I'm not super opinionated so I don't have a lot to say about certain subjects or ideas that were mentioned. ",4,19,"Female","Caucasian/White,Hispanic/Latino(a)","Freshman",92202,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.5,3.16666666666667,-1,10.2857142857143,-1,20.8571428571429,22,-1.57142857142857,"Positive","Negative","Negative"
"30",30,-11,-27,32,-21,-17,30,19,27,-20,21,10,-21,"I liked the continuity, it made it easy to predict what questions would be next. ","It was hard to stay focused during the initial survey portion. ",4,18,"Male","Caucasian/White","Freshman",91625,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2.16666666666667,-3.57142857142857,20.8571428571429,0,6.85714285714286,15.1428571428571,22.4285714285714,"Negative","Negative","Positive"
"31",31,50,-30,30,0,-20,50,0,40,0,50,-40,-20,"I liked being able to guess the general populations ideas about Universal Healthcare, the death penalty and AI, and then seeing if I was correct or not. I also like studying psychology in general. ","I had challenges measuring my own ethical beliefs about the death penalty because it is a difficult subject to comprehend. ",2,18,"Female","Caucasian/White","Freshman",91168,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.33333333333333,2.5,33,37.1428571428571,22.8571428571429,42.8571428571429,42.8571428571429,28.5714285714286,"Positive","Neutral","Neutral"
"32",32,10,-30,26,17,32,-21,-42,29,-36,27,38,-45,"The essays given weren't too wordy or long.","Seeing the differences between some of the questions.",1,18,"Male","Caucasian/White","Freshman",92651,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,1.83333333333333,7.85714285714286,12.8571428571429,27.4285714285714,10,25.4285714285714,27,"Positive","Positive","Negative"
"33",33,8,1,31,0,27,20,20,42,32,3,4,-5,"It allowed me to reflect on certain issues","I generally don't have opinions so trying to form them was challenging ",4,18,"Female","Caucasian/White","Freshman",91181,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.83333333333333,3,9.85714285714286,4.28571428571429,1.85714285714286,2.14285714285714,1.57142857142857,-1.28571428571429,"Positive","Neutral","Positive"
"34",34,50,20,-32,30,50,0,-30,41,0,50,40,-30,"The prompts were different, but the questions stayed the same throughout each prompt.","deciding if i was using the number scale correctly",6,18,"Female","Caucasian/White","Freshman",91225,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,3.33333333333333,21.2857142857143,22.4285714285714,20,46.8571428571429,46.7142857142857,39.5714285714286,"Positive","Positive","Negative"
"35",35,21,-40,0,-50,41,-49,-48,39,11,36,-31,25,"I liked that it included aspects of what the public said about these issues. ","I did not really understand what to do with the slider when I was trying to pick the percentage of Americans who agreed with an issue. ",7,19,"Female","Caucasian/White","Sophmore",92444,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.33333333333333,3,28.2857142857143,30.8571428571429,9,35.7142857142857,30.7142857142857,18.7142857142857,"Positive","Negative","Negative"
"36",36,-10,20,10,25,25,-10,-30,22,10,20,30,-25,"all based on personal opinion","none",5,19,"Female","Caucasian/White","Freshman",92323,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3,-4.71428571428571,-5,-17,-5.57142857142857,-4.14285714285714,-13.4285714285714,"Negative","Positive","Negative"
"37",37,27,-10,21,-30,22,-23,-30,31,-10,50,-20,-50,"I liked the comparison between my answers to the general publics. It was genially surprising to see some of the statistics, especially the capital punishment and AI standpoints.","I didn't really have any challenges with this exercise.",2,18,"Male","Caucasian/White","Freshman",92114,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.66666666666667,2.83333333333333,11.1428571428571,31.7142857142857,19.8571428571429,23.4285714285714,37.1428571428571,34.2857142857143,"Positive","Negative","Negative"
"38",38,10,31,20,10,20,20,-11,22,-10,21,22,-41,"Getting to express my own opinion about things in the world ","Trying to decide if I was for or against some of the questions being asked",7,18,"Female","Caucasian/White","Freshman",92467,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,3,5.85714285714286,9,17.7142857142857,-5.28571428571429,4,12.2857142857143,"Positive","Positive","Negative"
"39",39,46,27,16,7,19,9,26,34,10,39,33,34,"I liked being able to read the actual material ","it was a little repetitive ",6,18,"Female","Caucasian/White","Freshman",91298,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,3.33333333333333,-1,7,-3.42857142857143,15.4285714285714,11.7142857142857,-5.71428571428571,"Positive","Positive","Positive"
"40",40,5,1,1,1,1,1,1,1,1,1,1,1,"i liked learning about the government","none",2,18,"Female","Caucasian/White","Freshman",91969,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3,3,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,"Neutral","Neutral","Neutral"
"41",41,20,-10,10,-20,27,-28,12,38,17,21,-16,-2,"I liked the sliders to measure exactly how I felt. I also liked how it told me what percentages.","not much",6,20,"Male","Caucasian/White,Asian/Pacific Islander","Sophmore",91223,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,2.66666666666667,-2.14285714285714,17.4285714285714,-7.28571428571429,-6,13.4285714285714,-11.7142857142857,"Positive","Negative","Positive"
"42",42,9,10,40,15,5,-30,25,43,-25,30,33,36,"I liked learning about how the majority of the population views these things.","Deciding how the world viewed the death penalty.",8,19,"Male","Caucasian/White,American Indian/Alaska Native","Freshman",91406,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3,31.4285714285714,25.2857142857143,9.42857142857143,20.4285714285714,24,9.57142857142857,"Positive","Positive","Positive"
"43",43,23,-25,21,-4,30,11,-6,40,27,40,-12,25,"That the topics where relevant to today and well known  ","I don't like using the completely agree or disagree options because i feel like they are to harsh sometime  ",2,18,"Female","Caucasian/White","Freshman",91430,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,1.5,9.14285714285714,19.2857142857143,13.5714285714286,21.2857142857143,31,11.5714285714286,"Positive","Neutral","Negative"
"44",44,50,29,50,-25,23,50,-50,50,-21,50,-19,-50,"I liked how it challenged me to be self-aware about where my opinions come from and how susceptible I am to persuasion.","It was hard to understand the purpose of some of the questions, because I lot were repetitive so I had to be careful to understand what each questions was asking and the purpose of the question to differentiate between meaning. ",2,18,"Female","Caucasian/White","Freshman",91918,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,1.5,25.5714285714286,13.2857142857143,21,28.4285714285714,23.7142857142857,26.1428571428571,"Positive","Negative","Negative"
"45",45,28,22,30,8,28,16,-5,38,22,30,24,18,"The questions were straight forward and the essays gave a different perspective on the topics","I had no challenges",7,18,"Male","Caucasian/White","Freshman",91512,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,3.33333333333333,22.4285714285714,19.4285714285714,18.7142857142857,29.8571428571429,23.1428571428571,26.4285714285714,"Positive","Positive","Negative"
"46",46,21,12,20,-11,28,-4,-22,27,-20,20,-20,-22,"It was fun to see how my thoughts changed and became stronger after seeing the populations stance. ","Remembering what I said before. ",2,19,"Female","Caucasian/White","Freshman",91227,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.83333333333333,13.8571428571429,10.1428571428571,13.1428571428571,12.7142857142857,13.5714285714286,14.2857142857143,"Positive","Negative","Negative"
"47",47,21,-4,19,10,-50,33,-5,26,33,19,20,19,"I liked how there was a variety of question types.","I struggle to think about what my stance would be on certain topics.",4,18,"Female","Caucasian/White","Freshman",92324,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.66666666666667,2.16666666666667,11.5714285714286,0.714285714285714,5.14285714285714,17.2857142857143,20.7142857142857,26.1428571428571,"Positive","Positive","Negative"
"48",48,22,6,13,28,9,16,-14,29,25,16,28,8,"I liked the questions being asked. ","How repetitive questions were and the same format throughout.",4,18,"Male","Caucasian/White","Freshman",91924,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,2.66666666666667,13.5714285714286,7.14285714285714,0.285714285714286,-0.857142857142857,1.85714285714286,5.57142857142857,"Positive","Positive","Negative"
"49",49,20,-36,36,50,30,50,-38,26,50,28,36,-30,"Talking about the specific topics","Explain more the differences between the moral and ethical options",4,18,"Male","Caucasian/White","Freshman",91997,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.66666666666667,2.33333333333333,18.2857142857143,29.7142857142857,2.42857142857143,24.5714285714286,26.5714285714286,1.71428571428571,"Positive","Positive","Negative"
"50",50,26,22,-21,20,18,7,-43,31,-38,30,35,-19,"I enjoyed that it gave paragraphs to read about what the US thinks about each topic and then we rated the responses off of that. ","I thought that having to compare moral principles and moral values was a little bit difficult to separate. ",7,19,"Female","Caucasian/White","Sophmore",92028,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.5,2.66666666666667,0.857142857142857,34.2857142857143,23.7142857142857,20,39.8571428571429,13.8571428571429,"Positive","Positive","Negative"
"51",51,-5,10,25,-21,22,-19,7,24,20,7,-29,21,"I liked the inclusion of the essays","I wish it was formatted to focus on one issue at a time. Universal health care, then death penalty, then AI",2,18,"Female","Caucasian/White","Freshman",91603,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.16666666666667,8.14285714285714,36.4285714285714,16,16.1428571428571,33.1428571428571,3.85714285714286,"Negative","Negative","Positive"
"52",52,10,1,20,11,17,8,-6,12,13,6,5,-3,"The questions were very specific and easy to answer","May of the question were very similar",7,20,"Female","Caucasian/White","Sophmore",92009,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.66666666666667,2.28571428571429,-4.85714285714286,-2.85714285714286,7.14285714285714,-0.428571428571429,-2.14285714285714,"Positive","Positive","Negative"
"53",53,36,-40,28,31,-29,36,11,16,32,19,29,-24,"I like how diverse it was ","I didn’t like how repetitive it was ",7,18,"Female","Caucasian/White","Other",91721,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,2.33333333333333,21.8571428571429,19.8571428571429,13.1428571428571,21,19.1428571428571,15.2857142857143,"Positive","Positive","Positive"
"54",54,19,13,11,-31,37,-10,-18,33,13,22,-45,-6,"I liked the different perspectives from 2018","none",2,21,"Female","Caucasian/White","Senior",92170,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,2.16666666666667,6.85714285714286,26.7142857142857,-0.428571428571429,10.2857142857143,32.1428571428571,5.28571428571429,"Positive","Negative","Negative"
"55",55,50,19,26,-17,28,-10,30,37,-4,50,-20,24,"I liked the different questions that were being asked. It made me think about my stance on certain issues.","I was a little confused on what some of the questions were asking and why some questions were repeated. ",1,18,"Female","Caucasian/White","Freshman",92153,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.33333333333333,3,33.8571428571429,3,-13.7142857142857,38.2857142857143,21,5.57142857142857,"Positive","Negative","Positive"
"56",56,50,50,-40,-39,-20,20,26,20,33,50,-14,16,"everything","SONA credit granting",3,32,"Male","Asian/Pacific Islander","Other",63483,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.33333333333333,2.5,43.8571428571429,13.7142857142857,-6.14285714285714,26.1428571428571,20.7142857142857,10.7142857142857,"Positive","Negative","Positive"
"57",57,39,22,28,42,24,21,26,22,31,38,42,31,"I liked that I got to choose how the options were morally important to me and read from essays. ","Some topics I view as more ethically important than others. ",6,18,"Female","Caucasian/White","Freshman",92262,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.33333333333333,3,20.7142857142857,39.4285714285714,13.2857142857143,16.1428571428571,39.1428571428571,8.42857142857143,"Positive","Positive","Positive"
"58",58,31,25,-20,20,41,1,11,40,1,41,29,24,"I liked that others' stances were shown on the topics given.","No challenges, just tough to pinpoint exactly where my stance was, as it was somewhat grey.",1,18,"Female","Caucasian/White","Freshman",92492,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.5,2.83333333333333,24.2857142857143,25.7142857142857,20,21.5714285714286,32.5714285714286,21,"Positive","Positive","Positive"
"59",59,20,0,20,5,1,1,7,34,16,13,6,9,"I liked how simple the exercise was. ","A challenge I had with the exercise is that was wasn't fully educated on the topics.",4,18,"Female","Caucasian/White","Freshman",92228,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3.5,0.714285714285714,0.714285714285714,8,0.714285714285714,0.714285714285714,0.857142857142857,"Positive","Neutral","Positive"
"60",60,20,2,3,-12,4,5,-50,21,-14,18,-15,-50,"I enjoyed reading the essays before answering the questions.","I had to look some words up to make sure I understood what they meant.",5,18,"Female","Caucasian/White","Freshman",92309,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.16666666666667,3,6.28571428571429,5.85714285714286,11.5714285714286,8.14285714285714,7.85714285714286,13,"Positive","Negative","Negative"
"61",61,41,35,-40,-10,-20,11,10,20,30,45,-10,34,"I liked that it showed how American's felt about the topics in 2018.","Some challenges I had were understanding some of the questions. I had to reread them to understand. ",3,18,"Female","Caucasian/White","Freshman",91848,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4.16666666666667,3.16666666666667,32.7142857142857,8.42857142857143,6.42857142857143,20.7142857142857,7.28571428571429,11.4285714285714,"Positive","Negative","Positive"
"62",62,-10,26,-9,-10,36,-24,-8,16,7,-13,-19,-17,"It was thought provoking.","Imagining what most people would think about an issue.",4,46,"Female","Caucasian/White","Junior",92141,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",4,2.5,0.714285714285714,20.5714285714286,1.14285714285714,12,20.2857142857143,9.14285714285714,"Negative","Negative","Negative"
"63",63,35,30,15,-25,40,30,-41,35,-10,40,-30,-41,"I enjoyed being shown the actual data after I had made my prediction.","Recalling the events in the year 2018 as I was in middle school at that point in time.",1,18,"Male","Caucasian/White","Freshman",91644,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4.16666666666667,2.83333333333333,27.8571428571429,47.1428571428571,12.2857142857143,39.2857142857143,50,34.7142857142857,"Positive","Negative","Negative"
"64",64,20,-1,18,-16,8,-8,-16,30,-10,15,-16,-14,"It talked about three topics that people could have varying opinions on. ","Feeling like some of the questions where very similar/asking the same thing. ",2,18,"Female","Caucasian/White","Freshman",91152,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,3,18.1428571428571,3.28571428571429,-10.1428571428571,16.4285714285714,4.28571428571429,-0.428571428571429,"Positive","Negative","Negative"
"65",65,-6,21,-32,36,22,-10,-34,31,-7,-8,50,-19,"I liked how this exercise asked a set of questions, gave statistics, and then asked the questions again.","Analyzing how I feel about topics.",7,18,"Female","Caucasian/White","Freshman",91495,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4,3,11.4285714285714,25,11.7142857142857,2.28571428571429,39.5714285714286,17.1428571428571,"Negative","Positive","Negative"
"66",66,50,30,50,50,30,20,50,50,45,45,50,50,"I liked how many people agreed within the survey, that most of the choices were for and not against the reforms","seeing how AI is a ethical problem as i see it more as a tool to be used like a hammer and a nail",4,19,"Male","Caucasian/White","Freshman",91708,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.66666666666667,3.5,21.4285714285714,30,0,21.4285714285714,50,0,"Positive","Positive","Positive"
