"","Duration..in.seconds.","Pre_P1","Pre_P2","Pre_P3","Pre_P4","UTIL_1","UTIL_2","UTIL_3","UTIL_4","UTIL_5","UTIL_6","DEON_1","DEON_2","DEON_3","DEON_4","DEON_5","DEON_6","Post_Int_1_10","Post_Int_2_1","Post_Int_3_1","Post_Int_4_1","Q114_1","Q114_2","Q114_3","Q114_4","Q116_10","Q117_1","Q118_1","Q119_1","Q121_1","Q121_2","Q121_3","Q121_4","High_Like_Free_R","High_Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","Q163_10","Q164_1","Q165_1","Q166_1","Q169_1","Q169_2","Q169_3","Q169_4","Q171_10","Q172_1","Q173_1","Q174_1","Q176_1","Q176_2","Q176_3","Q176_4","Low_Like_Free_R","Low_Hard_Free_R","Pol_Low_1","Age_Low","Gender_Low","Race_Low","School_Low","SILS_1_1","NLINE","SNS_SCORE"
"13","706","61","52","53","100","4","4","4","3","4","4","3","3","2","3","4","3","81","81","67","83","3","1","2","1","81","78","72","100","81","62","66","100","Some things I liked was that it made me think about how others feel/felt about the topics listed. It makes you think outside of what you believe/feel.","A change that I had was that I thought about how others felt. It made me look at those topics from a different point of view.","","19","2","1,5","3","","","","","","","","","","","","","","","","","","","","","","","","5",4.33463786389049,3.75
"14","443","100","100","0","100","5","5","5","4","5","4","2","3","2","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","43","19","69","83","1","2","4","4","71","64","45","97","95","92","6","100","The questions were thought provoking","I had to think about some things that I hadn’t considered in awhile","","19","2","1","3","5",5.16221393226656,3.75
"15","655","75","71","16","100","4","4","4","3","2","3","2","2","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","","","83","51","30","92","2","1","4","1","72","81","16","100","64","50","20","100","I liked seeing actual results after guessing.","No challenges","","18","2","1","1","1",3.8868378638905,4.25
"16","365","83","84","0","100","2","5","5","5","5","5","2","4","3","3","4","4","84","83","0","100","1","1","5","1","88","83","0","100","85","86","0","100","I liked how it showed the results and asked how surprised you were","I didn't have any challenged","","21","2","1","4","","","","","","","","","","","","","","","","","","","","","","","","5",4.08247107512371,5.75
"18","707","59","100","0","100","4","4","4","3","4","5","1","2","2","2","4","3","20","30","80","25","4","4","1","4","86","92","45","92","60","100","0","100","I liked that after I attempted to predict the average people agreed or disagreed with something that the true results were shown. ","A challenge I had was that some of the topics I did not have a lot of knowledge in so I had to choose neither.","","19","2","5","2","","","","","","","","","","","","","","","","","","","","","","","","4",2.05400478118373,3.375
"19","398","78","60","59","100","4","4","4","4","3","3","3","3","3","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","56","49","40","99","4","3","3","1","74","51","41","99","77","57","51","100","What I liked about this exercise is that it made me think about how others think/feel about certain topics","A challenge I faced was thinking about others views and perspectives","","19","2","1,5","3","5",3.60852675277938,3.125
"20","480","100","100","50","100","5","5","5","4","5","5","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","100","100","52","100","5","5","3","1","100","100","54","100","100","100","47","100","The things I enjoyed was seeing what the percentages were regarding, capital punishment and slavery","No challenges.  Everything was straight forward. ","","39","2","2","4","5",5.5666047426258,4.125
"21","829","100","81","20","100","4","4","5","5","4","5","1","2","1","3","2","2","40","10","81","100","2","5","4","1","100","81","61","100","100","82","10","100","I like seeing the actual statistics from the 2018 data. It was suprising and interesting to see what a large population perceived the issues as compared to me. At the time I was 17 so there was probably not as much attention given to those issues when I was that young compared to now; 5 years later. ","I didn't encounter any challenges with this exercise. ","","22","2","1","5","","","","","","","","","","","","","","","","","","","","","","","","5",1.32766008611272,3.5
"22","485","70","50","30","100","5","5","3","5","3","2","1","1","3","3","3","4","50","50","50","80","4","5","5","3","50","50","50","80","70","50","30","100","I liked that they were relevant questions.","1-100 is hard I think 1-5 or 1-10 would be easier","","22","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","5",1.3749681511471,4.25
"23","505","82","73","58","100","4","4","4","4","4","4","2","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","100","100","60","100","4","4","4","1","81","70","51","100","81","84","56","100","I liked how I answered the questions then I got to see the percentage of people that put similar answers to mine","picking an exact percent of how much I agreed or disagreed ","","20","2","1","3","2",4.01376029818135,3.75
"24","612","75","65","50","100","2","3","4","2","5","5","1","2","2","2","3","2","","","","","","","","","","","","","","","","","","","","","","","","55","45","50","85","4","4","5","2","55","50","37","99","65","55","50","100","I enjoyed learning about the public polls.","I am a bit unknowledgeable about green house emissions, so I didn't know how to accurately answer the question.","","20","2","1","3","4",2.86846960992224,3.75
"25","887","85","35","62","100","4","4","5","3","5","4","2","4","3","2","4","4","60","63","50","100","2","3","5","1","70","87","80","100","85","66","66","100","I liked how all the questions were about different things about society and the earth yet still revolved around people and how these things affect everyone. ","I think it was a little challenging to know what the people in today's society would want because you need to take people on both sides of the argument into consideration. ","","18","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","4",0.876901484480432,4.25
"26","620","100","100","19","100","4","4","4","2","5","5","2","2","4","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","61","32","55","97","4","3","2","1","75","61","20","100","100","85","","100","I liked being able to compare my own opinions with the American consensus. ","It forced me to confront my own standing on things and have to gauge them against societies viewpoint","","20","2","1","3","3",2.68060758306021,3.75
"27","445","100","100","100","100","5","5","5","5","5","5","3","1","5","2","5","5","100","100","100","100","1","1","1","1","100","100","96","100","100","100","100","100","It was interesting to see the different percentages after years. ","No challenges ","","38","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","5",6.90703648865754,5
"28","740","91","100","38","100","4","4","4","4","4","5","2","3","2","3","4","3","87","91","38","100","2","3","1","1","74","72","49","100","56","100","41","100","It opened my eyes to how people in America think about certain topics that are important in today's day and age.","I did not have any challenges.","","21","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","3",1.21747291305186,5
"29","1018","92","60","55","100","3","4","5","4","5","4","2","2","3","3","4","2","","","","","","","","","","","","","","","","","","","","","","","","65","40","19","95","5","1","2","1","63","45","30","98","75","31","22","100","I like how I was able to estimate the 2018 poll results and then able to respond on my level of surprise (or not) to the results!","I felt as though after viewing the 2018 results from other Americans, it made me question my own thoughts on some of the questions. For example, if I answered 80% agree and the results reflect that the average answer was 40% from the rest of the pollers, it made me wonder why or what the thinking process was and maybe changed my answers the second time I was asked the same questions. ","","20","2","1","3","4",1.18912688130583,4.5
"30","408","60","10","80","100","4","4","5","3","4","3","2","3","4","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","75","68","44","100","2","2","3","1","55","37","58","100","35","10","76","100","got to see public perception of certain issues.","None.","","21","1","1","3","4",2.87332708694814,3.875
"31","205","48","47","67","64","3","4","3","2","3","4","2","2","5","5","5","4","59","63","66","97","2","3","3","3","69","63","54","86","59","54","58","60","how the questions were phrased","answering without my prior biases","","18","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","3",3.12950315532421,3.75
"32","1004","100","90","30","100","3","4","5","5","4","3","1","1","3","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","40","70","40","95","4","3","5","1","60","70","50","100","100","80","20","100","The scale was easy to interpret, and gave more room for specifics than a normal scale of 1-10. Being able to guess the percentages before being shown the real statistics shone light on the things that I personally value.","There were a few moments I felt as though I was repeating the same question I had earlier, such as my personal opinions being stated at both the beginning and end of the survey.","","19","2","1","2","4",2.25925056230319,3.75
"33","802","65","80","30","90","4","4","4","3","5","5","2","3","3","4","4","4","40","70","55","70","3","1","2","4","75","85","70","90","75","90","65","95","I liked how there were results from the 2018 study and I could see what the general population put down as their answer. I also then liked how you asked about the 2023 study to then compare the answers to previous years. ","I couldn't decide if from 2018 these things have changed in positive or negative ways and as time has passed if people would agree or disagree more depending on the age they are and the life experiences they have had. ","","18","2","1,3","1","","","","","","","","","","","","","","","","","","","","","","","","4",3.1565472655999,4.125
"35","1108","100","60","70","100","4","3","5","5","4","4","1","2","3","3","4","3","80","86","60","90","3","1","4","1","93","96","45","100","86","60","75","100","I liked that the exercise made me think about a concentrated topic, so I could think deeply about the questions without getting lost in my own train of thought.","The biggest challenge for me was remembering 2018 as I was only in middle school, and in hindsight, my opinions on global matters were only reflections of those around me.","","19","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","3",0.809733101985734,4.5
"36","359834","70","95","50","80","4","4","4","3","4","5","2","3","3","4","3","4","","","","","","","","","","","","","","","","","","","","","","","","75","90","60","70","4","5","2","2","60","90","60","60","80","95","60","75","I liked how I could see the different statistics from different years about these issues taking place and then could also voice my own opinion. ","Some challenges were deciding how I felt about certain issues and if I thought these issues people were agreeing with or disagreeing with more or less as time went on. ","","18","2","1,3","1","4",1.02166192404087,4.375
"37","849","100","83","65","100","4","4","5","5","5","4","1","2","2","1","3","4","64","80","60","95","1","1","3","1","76","76","52","98","88","78","57","100","I liked how comprehensible the statements were and the range of the scale.","Remembering what 2018 was like, it seemed like an eternity ago.","","19","2","1,5","2","","","","","","","","","","","","","","","","","","","","","","","","4",1.43575081292976,4.25
"39","434","58","1","61","98","3","3","3","3","2","4","2","3","2","4","3","3","","","","","","","","","","","","","","","","","","","","","","","","40","74","8","100","2","3","4","1","56","57","36","100","40","3","64","100","I enjoyed learning about what other surveys were like.","No challenges.","","21","1","1","4","5",1.61161927896665,4.25
"40","357","70","50","67","100","4","4","4","3","5","4","3","3","3","2","4","4","92","100","36","100","3","4","4","1","92","93","34","100","79","43","33","100","I liked the different range of questions and how the results were compared with the recent and old ones. ","I had a hard time knowing what people these days would think about the questions. ","","18","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","5",1.27355081292976,3.75
"42","984","100","50","50","100","5","5","4","5","5","5","1","3","3","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","42","79","79","100","1","3","1","1","85","83","21","100","100","22","46","100","It was interesting to see the opinions over the years and how my opinions lined up with them.","I didn’t find any difficulties","","20","1","1","3","1",0.680417479596427,4.375
"43","971","15","2","100","100","4","4","5","1","2","4","5","5","3","3","3","3","45","4","85","100","4","5","2","5","75","85","65","100","5","10","100","100","I thought that making it about other peoples options plus mine was very unique and inclusion which I loved.","I didn't necessarily feel like I was well educated enough on some of the topics of the questions I was asked. ","","18","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","4",3.6953091703618,3.125
"44","336000","70","95","65","85","4","4","3","3","4","4","2","3","3","4","4","4","65","95","54","70","1","3","2","4","50","95","70","80","70","95","75","85","I liked how I could see the difference between the different year's studies and how they slightly changed. I also liked how I could voice my own opinion about these topics. ","A challenge I had was determining if over the years people would agree with something more of less depending where they live and what their beliefs are. ","","18","2","1,3","1","","","","","","","","","","","","","","","","","","","","","","","","4",1.01366192404087,4.125
"47","696","100","50","60","100","4","4","5","4","4","5","1","2","2","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","40","30","30","100","2","2","3","1","60","70","20","100","90","65","60","100","Interesting to see the results after my guesses to see how accurate I was.","I had no outstanding challenges in this exercise.","","21","1","1","3","2",0.392537741790373,5.5
"48","457","100","72","66","100","5","5","5","3","5","5","2","1","3","3","4","2","87","55","52","100","4","4","1","1","89","56","59","100","100","62","57","100","I liked how it showed what the general public showed on these statements.","None.","","20","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","5",0.911928590707538,4.75
"49","312","100","56","59","100","5","5","5","3","5","5","2","2","3","3","4","1","","","","","","","","","","","","","","","","","","","","","","","","93","65","65","100","5","3","3","1","89","64","39","100","100","56","49","100","Showing the publics answers","Zero","","20","1","1","3","5",1.14086192404087,4.375
"50","5920","80","70","10","100","4","4","4","4","5","5","2","2","2","2","3","2","48","35","30","2","4","4","5","1","95","91","30","100","90","80","10","100","I liked how I had to compare responses from 2018 to the current time since it is interesting how topics/opinions of the public can change so significantly over the course of a few years.","I realized halfway in I didn't fully read and understand the prompt it was asking me so the beginning responses on the sliding bar question may have not been as accurate as I would have answered.","","20","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","4",0.530706368485316,5
"51","151","61","51","16","77","2","3","4","3","4","2","3","2","3","4","3","3","","","","","","","","","","","","","","","","","","","","","","","","55","35","18","38","3","4","2","4","38","28","48","47","31","41","35","41","Great questions.","None","","20","1","1","4","2",5.46983648865754,2.875
"52","930","71","55","60","100","4","4","5","3","4","5","2","2","3","3","2","4","78","61","35","90","1","3","5","1","90","87","40","95","50","66","70","100","I thought it was interesting to see honestly how similar we really are as a nation on a lot of different issues.","In the US there is such a broad understanding of a lot of different issues we have in the world and trying to understand from those different point of views made it difficult to see how others would have voted.","","20","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","2",1.19148694813958,4.125
"56","386","73","64","69","100","3","4","3","3","4","3","4","4","4","4","3","4","","","","","","","","","","","","","","","","","","","","","","","","72","86","100","87","4","3","3","4","68","92","77","84","89","70","100","98","I liked how this surgery asked me about real world problems that our society we need to do a better job of resolving.  ","No challenges pretty easy activity.","8","19","1","1","1","3",4.46512708694814,3.75
"57","1298","100","100","15","100","4","5","4","3","5","5","3","3","2","2","4","4","63","43","73","90","1","4","2","2","76","85","76","99","100","100","55","100","It was interesting to reflect on how I viewed the public opinion in 2018 and what the actual public opinion was. It was also interesting to see how I view societal concepts compared to how the general public views them. ","It was difficult to think about how the general public would think in 2018, I was younger and not as involved in political issues during that time, so I had little to no concept of what the average American would think. ","5","18","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","5",0.61327926225821,4.125
"58","823","80","100","10","100","5","5","5","5","4","5","2","4","3","3","3","4","","","","","","","","","","","","","","","","","","","","","","","","70","45","31","100","4","1","4","1","50","62","30","100","81","100","20","100","I appreciated seeing the actual survey results from the 2018 survey","Remembering what I answered on the very first questionnaire page","6","26","2","1","5","4",0.809785733564681,4.375
"59","603","50","90","1","100","4","4","3","4","4","3","2","2","3","3","4","2","81","100","41","91","1","2","5","1","100","74","72","1","100","86","2","100","N/A","Thinking about what Americans voted in 2018. ","11","18","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","4",3.71089500674764,3.25
"60","1267","70","20","50","100","2","5","4","3","4","2","1","2","3","3","4","2","","","","","","","","","","","","","","","","","","","","","","","","76","39","20","100","4","1","2","1","65","61","28","100","70","30","50","100","Having slider bars from 0-100 as opposed to scales with more limited options ","Trying to best assume the average popular opinion of people in 2018","10","18","1","1","1","3",0.656532099479468,4.5
"61","1046","95","85","0","100","4","5","5","3","5","4","3","3","3","4","3","3","","","","","","","","","","","","","","","","","","","","","","","","83","90","20","97","5","5","4","1","65","70","25","98","75","75","0","100","I liked guessing the whole populations results as of 2023 and comparing those to the answers. ","Shocking percentages that surprised me. ","7","18","2","1","1","4",0.948872913051861,3.5
"62","667","85","90","50","100","4","4","3","4","5","4","2","2","2","2","2","2","91","96","20","99","3","1","5","1","82","90","70","98","85","84","90","100","All the questions we were asked were only slightly different each time, but what we were asked to rate stayed the same. It gave us options that stayed consistent so there was no need to continue re-reading new information every time we went to a new question. ","The United States is so divided that I didn't know whether to head in the agree or disagree sections when it came to giving a general estimate on the population's response percentage. ","9","18","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","1",3.07354409099672,3.5
"63","3014","100","100","100","100","3","3","5","3","5","5","3","5","3","1","5","3","100","100","100","100","1","1","1","1","100","100","100","100","100","100","100","100","I liked that it made me think about what life was like in the past and how things have changed over time.","It is hard to remember what things happened in what year and to notice what things have changed. ","8","18","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","3",1.82320440845704,5.375
"64","5853","82","80","26","100","4","4","4","5","4","5","1","3","2","2","4","3","","","","","","","","","","","","","","","","","","","","","","","","44","43","71","100","4","4","2","1","61","82","14","100","82","84","16","100","I liked how it showed you the actual results of the 2018 survey. ","I did not have any challenges. ","8","18","2","1","1","4",1.62909363151468,3.5
"65","543","64","95","1","100","3","4","4","4","4","4","2","2","2","3","2","3","","","","","","","","","","","","","","","","","","","","","","","","58","60","58","48","3","4","2","2","57","79","29","100","81","94","1","100","It was user friendly and easy to do ","I am not completely informed or up-to-date about all current events/problems in our world","","18","2","1","1","2",1.05876351134246,3.25
"66","547","100","100","50","100","2","2","5","3","3","5","3","3","3","3","2","3","50","40","50","90","4","5","4","2","80","90","90","100","100","100","50","100","I was pleasantly surprised with the results of the survey of the general population and I liked expressing my opinions on the issues","Some questions I didn't have an opinion on","5","18","","1,5","1","","","","","","","","","","","","","","","","","","","","","","","","3",0.810007955786903,4.75
"67","639","30","100","1","100","1","4","4","2","4","5","4","4","4","2","2","3","70","100","40","100","1","2","5","1","90","100","40","100","20","100","1","100","Easy to read and understand","Couldn't put 0 for strongly disagree- had to put 1","10","19","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","2",1.55450636848532,2.375
"68","306","100","100","0","100","4","4","4","3","5","5","2","2","1","2","4","1","","","","","","","","","","","","","","","","","","","","","","","","35","29","50","100","1","4","1","1","56","60","50","100","100","100","0","100","It was really interesting to see the actual percentages of people who believe that way.","n/a","3","21","2","1","4","4",1.24532575027312,5.25
"69","396","68","86","1","94","3","2","4","4","4","4","2","3","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","","","62","83","2","93","4","4","4","1","60","81","1","92","63","78","5","80","I liked the results of the surveys show for the questions.","There wasn't any challegnes.","8","23","1","3","2","3",4.97016029818135,3
"70","10175","100","82","30","100","4","5","5","5","5","5","1","3","1","2","3","3","50","40","80","100","2","5","1","1","85","51","61","100","100","80","21","100","Ease of operation","Deciding between numbers (ex: deciding wether to put 86% or 87%)","6","18","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","4",0.887246051024998,4.75
"71","778","100","100","30","100","4","4","5","4","4","5","1","1","1","2","2","4","40","60","70","90","1","1","1","1","85","90","40","100","100","100","20","100","The questions were pretty simple.","None.","5","18","2","1,5","1","","","","","","","","","","","","","","","","","","","","","","","","4",4.34809851551957,2.25
"72","523","61","79","49","100","4","4","4","3","4","4","4","2","3","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","76","88","26","100","3","4","3","1","65","70","11","100","65","73","26","100","Being able to see the results of what I was estimating.","Thinking back to 2018 and how things have changed since then.","10","18","2","1","1","1",1.1056318488529,3.375
"73","867","84","60","50","100","3","3","5","4","5","5","4","2","2","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","70","50","40","95","4","1","1","1","70","50","34","99","80","50","50","100","i like that it showed me real results and asked me how I felt about those results.","none","8","18","2","1","1","2",3.25669500674764,2.5
"74","710","80","80","30","100","3","4","5","3","4","5","2","2","3","3","4","4","71","50","82","100","3","4","1","1","88","71","90","100","85","75","35","100","Quick and most questions are pretty easily understood. ","Some of the questions were difficult to understand at first, but were more understanding after a second reading. ","5","18","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","3",4.31003648865754,4
"75","624","100","73","30","100","4","4","4","4","4","5","2","3","2","2","3","3","57","64","44","95","4","4","4","2","82","90","62","99","85","71","26","100","It gave the information afterI guessed.","I didn't have any.","8","19","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","3",0.636414304993252,5.25
"76","819","71","100","0","0","4","5","2","4","4","4","2","2","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","81","91","50","0","4","2","1","1","60","70","40","0","50","65","0","0","I really enjoyed seeing real and genuine results from the general American audience, concerning their thoughts on all of these real-world problems.","One of the challenges I had with this was the fact that I haven't done much of any research on the topic of greenhouse gases, therefore, I am unsure of where I stand on the subject. I would've preferred to do research on the topic prior to this survey, or even had an option that says ""I don't know where I stand on this matter.""","10","19","2","1","2","5",0.734123706702654,5.875
"77","907","100","100","30","100","4","5","5","4","4","5","3","4","3","4","3","4","61","40","85","67","4","3","1","1","91","96","74","100","100","100","31","100","I liked that it was short","I experienced no challenges with the exercise I completed

","6","18","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","4",1.60561393226656,4.375
"78","695","83","83","6","100","3","4","5","3","5","5","1","2","3","3","2","4","","","","","","","","","","","","","","","","","","","","","","","","70","50","20","100","5","3","3","1","60","51","30","100","80","60","8","100","I liked being able to predict results from 2018 and more specifically being able to see what the actual results were after I had made a personal judgment as well. ","I didn't find the exercise challenging. ","7","19","2","1","1","2",0.908422119401067,3.375
"79","691","100","1","85","100","4","4","5","5","3","2","1","1","4","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","60","72","23","84","4","2","4","1","55","47","22","100","100","1","72","100","I liked seeing how relevant of an issue people viewed the presented choices. Exploring my own thoughts and how they related to the topics.","The gray zones that some of the questions represented, as in having moments of; yes this would work but on the other hand it may be more harmful in this area than another. It may not be ""necessary"" but it may prove useful.","10","19","1","1,5","2","4",1.88226008611272,4.25
"80","654","59","84","65","100","3","4","5","4","4","5","4","3","3","2","4","2","40","50","28","80","2","1","4","1","81","74","51","100","67","55","31","100","getting to see the results of the past study in 2018","maybe having examples of what some of the questions mean ","8","18","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","4",4.44746008611272,3.875
"81","794","63","83","17","100","4","5","4","3","4","5","1","1","3","2","4","4","68","73","20","79","2","1","5","1","90","61","27","100","72","91","24","100","I liked how I was above to guess how average American think on different problems and then I was able to see the correct numbers. It really made me realize the world we live in.","I was struggling to think for society as I whole without my views getting involved.","5","18","2","5","1","","","","","","","","","","","","","","","","","","","","","","","","5",1.79716351134246,4.5
"82","574","71","49","63","100","4","4","5","4","5","5","2","2","3","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","29","85","40","100","3","1","1","1","49","66","21","86","50","33","39","100","I liked how I was able to see the real statistics to the questions I was asked. ","No challenges.","11","18","2","5","1","4",3.56740440845704,2.5
"83","643","71","61","40","0","4","4","5","3","5","4","2","3","3","4","2","4","71","91","10","0","1","1","5","1","80","60","80","90","70","85","30","100","Being able to compare my results to those from the past and the present ","I misunderstood one of the questions and got it very wrong and some of the other questions were a little confusing ","8","19","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","4",0.658506368485316,4.5
"84","1293","80","80","50","100","4","4","4","4","3","4","2","3","3","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","90","90","60","100","4","3","1","1","80","70","40","100","90","70","45","100","I liked being able to put in what I agree and disagree with, but also being able to see real percentages of what other people agreed and disagreed with. ","I didn't fully understand some of the questions, but mostly because I had never thought about how I felt about those specific questions.","8","18","2","1","1","2",6.40260123385386,3.125
"85","955","54","62","11","100","3","3","4","3","4","4","3","2","2","3","2","4","82","87","30","93","1","1","4","1","91","92","54","100","76","92","7","100","That the exercise gave the actual percentages of the previous topic.","repeated questions.","11","19","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","3",0.7628002313476,3.75
"86","534","100","90","60","100","3","3","5","4","4","4","2","3","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","","","80","60","50","100","4","3","2","1","60","60","50","100","100","80","50","100","I liked how it showed the real percentages of people in the 2018 study, so you could see how other people thought. ","I had challenges with where to put myself on some of the slides just because I don't know much about the topics, like death penalty and the universal health care. ","6","18","2","1","1","2",2.46478573356468,3
"87","731","70","35","100","100","3","4","4","3","3","3","4","3","3","2","4","2","","","","","","","","","","","","","","","","","","","","","","","","51","61","71","87","4","2","5","1","35","51","56","100","33","50","82","100","easy to use and understand what was being asked","no challenges","10","18","1","1","1","2",2.36559341944605,3.875
"88","2088","100","100","0","100","2","2","5","4","5","5","3","3","2","1","1","2","80","80","60","100","4","4","1","1","86","89","87","100","100","100","0","100","I liked guessing what the percentage of people who answered the prompt agreed and disagreed.","none","3","19","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","5",1.01107291305186,5.125
