"","X","Duration..in.seconds.","Pre_P1","Pre_P2","Pre_P3","Pre_P4","UTIL_1","UTIL_2","UTIL_3","UTIL_4","UTIL_5","UTIL_6","DEON_1","DEON_2","DEON_3","DEON_4","DEON_5","DEON_6","SILS_1_1","NLINE","SNS_SCORE","condition","P1","P2","P3","P4","Suprise_1","Suprise_2","Suprise_3","Suprise_4","GSS_1","GSS_2","GSS_3","GSS_4","CRR_1","CRR_2","CRR_3","CRR_4","Age","Gender","Race","School_Year","Like_Free_Response","Hard_Free_Response"
"18",44,336000,70,95,65,85,4,4,3,3,4,4,2,3,3,4,4,4,4,1.01366192404087,4.125,"High",70,95,75,85,1,3,2,4,65,95,54,70,50,95,70,80,18,2,"1,3",1,"I liked how I could see the difference between the different year's studies and how they slightly changed. I also liked how I could voice my own opinion about these topics. ","A challenge I had was determining if over the years people would agree with something more of less depending where they live and what their beliefs are. "
"19",48,457,100,72,66,100,5,5,5,3,5,5,2,1,3,3,4,2,5,0.911928590707538,4.75,"High",100,62,57,100,4,4,1,1,87,55,52,100,89,56,59,100,20,1,"1",3,"I liked how it showed what the general public showed on these statements.","None."
"20",50,5920,80,70,10,100,4,4,4,4,5,5,2,2,2,2,3,2,4,0.530706368485316,5,"High",90,80,10,100,4,4,5,1,48,35,30,2,95,91,30,100,20,1,"1",3,"I liked how I had to compare responses from 2018 to the current time since it is interesting how topics/opinions of the public can change so significantly over the course of a few years.","I realized halfway in I didn't fully read and understand the prompt it was asking me so the beginning responses on the sliding bar question may have not been as accurate as I would have answered."
"21",52,930,71,55,60,100,4,4,5,3,4,5,2,2,3,3,2,4,2,1.19148694813958,4.125,"High",50,66,70,100,1,3,5,1,78,61,35,90,90,87,40,95,20,1,"1",3,"I thought it was interesting to see honestly how similar we really are as a nation on a lot of different issues.","In the US there is such a broad understanding of a lot of different issues we have in the world and trying to understand from those different point of views made it difficult to see how others would have voted."
"22",6,830,100,100,10,100,5,5,3,4,3,5,3,3,2,3,3,4,5,1.60045236167341,3.625,"Low",100,100,1,100,5,1,2,1,60,70,40,60,60,40,30,100,21,1,"1",4,"I liked the additional information of what the actual statistics were back in 2018. It gives some insight to what life was actually like back then without the haze of nostalgia. I was in Highschool so those issues weren't as front and center in my life as I remembered (I took my government class in my freshmen year back in 2016 and my US history in 2018). ","COVID really altered what life was like back then. For instance, my friends and I watched a Vine compilation (internet videos before tik tok came to life) and they mentioned movies and pop culture that I viewed were much more recent than it actually was. So, my perception of reality was skewed a bit"
"23",8,596,70,79,15,100,4,4,4,5,4,4,2,3,2,3,3,4,4,0.539177546430178,3.625,"Low",65,70,15,100,4,4,3,1,60,80,48,90,68,75,30,100,20,1,"1",3,"I liked hearing about how people of the past responded to these questions.","None"
"24",10,691,58,84,0,100,3,4,4,3,4,4,3,2,2,3,2,4,3,1.57565373690637,2.125,"Low",54,72,0,100,1,2,1,1,29,18,63,0,41,45,31,100,20,2,"1",3,"that it asked me the percentage I thought agreed with the statements and showed me what the actual percentage was because I didn't know.","how the ethical and unethical questions were stated."
"25",11,500,100,100,100,100,4,4,4,4,4,4,2,1,2,4,2,4,4,0.745009292461924,5.25,"Low",99,98,3,83,1,1,2,1,100,100,100,100,71,53,32,98,18,1,"1",1,"how the questions were worded","thinking through some of the problems as if I was in someone else's shoes"
"26",14,443,100,100,0,100,5,5,5,4,5,4,2,3,2,2,2,4,5,5.16221393226656,3.75,"Low",95,92,6,100,1,2,4,4,43,19,69,83,71,64,45,97,19,2,"1",3,"The questions were thought provoking","I had to think about some things that I hadn’t considered in awhile"
"27",15,655,75,71,16,100,4,4,4,3,2,3,2,2,3,2,3,2,1,3.8868378638905,4.25,"Low",64,50,20,100,2,1,4,1,83,51,30,92,72,81,16,100,18,2,"1",1,"I liked seeing actual results after guessing.","No challenges"
"28",19,398,78,60,59,100,4,4,4,4,3,3,3,3,3,4,4,4,5,3.60852675277938,3.125,"Low",77,57,51,100,4,3,3,1,56,49,40,99,74,51,41,99,19,2,"1,5",3,"What I liked about this exercise is that it made me think about how others think/feel about certain topics","A challenge I faced was thinking about others views and perspectives"
"29",20,480,100,100,50,100,5,5,5,4,5,5,5,5,5,5,5,5,5,5.5666047426258,4.125,"Low",100,100,47,100,5,5,3,1,100,100,52,100,100,100,54,100,39,2,"2",4,"The things I enjoyed was seeing what the percentages were regarding, capital punishment and slavery","No challenges.  Everything was straight forward. "
"30",23,505,82,73,58,100,4,4,4,4,4,4,2,4,4,4,4,4,2,4.01376029818135,3.75,"Low",81,84,56,100,4,4,4,1,100,100,60,100,81,70,51,100,20,2,"1",3,"I liked how I answered the questions then I got to see the percentage of people that put similar answers to mine","picking an exact percent of how much I agreed or disagreed "
"31",24,612,75,65,50,100,2,3,4,2,5,5,1,2,2,2,3,2,4,2.86846960992224,3.75,"Low",65,55,50,100,4,4,5,2,55,45,50,85,55,50,37,99,20,2,"1",3,"I enjoyed learning about the public polls.","I am a bit unknowledgeable about green house emissions, so I didn't know how to accurately answer the question."
"32",26,620,100,100,19,100,4,4,4,2,5,5,2,2,4,4,2,2,3,2.68060758306021,3.75,"Low",100,85,NA,100,4,3,2,1,61,32,55,97,75,61,20,100,20,2,"1",3,"I liked being able to compare my own opinions with the American consensus. ","It forced me to confront my own standing on things and have to gauge them against societies viewpoint"
"33",29,1018,92,60,55,100,3,4,5,4,5,4,2,2,3,3,4,2,4,1.18912688130583,4.5,"Low",75,31,22,100,5,1,2,1,65,40,19,95,63,45,30,98,20,2,"1",3,"I like how I was able to estimate the 2018 poll results and then able to respond on my level of surprise (or not) to the results!","I felt as though after viewing the 2018 results from other Americans, it made me question my own thoughts on some of the questions. For example, if I answered 80% agree and the results reflect that the average answer was 40% from the rest of the pollers, it made me wonder why or what the thinking process was and maybe changed my answers the second time I was asked the same questions. "
"34",30,408,60,10,80,100,4,4,5,3,4,3,2,3,4,3,4,3,4,2.87332708694814,3.875,"Low",35,10,76,100,2,2,3,1,75,68,44,100,55,37,58,100,21,1,"1",3,"got to see public perception of certain issues.","None."
"35",32,1004,100,90,30,100,3,4,5,5,4,3,1,1,3,2,3,3,4,2.25925056230319,3.75,"Low",100,80,20,100,4,3,5,1,40,70,40,95,60,70,50,100,19,2,"1",2,"The scale was easy to interpret, and gave more room for specifics than a normal scale of 1-10. Being able to guess the percentages before being shown the real statistics shone light on the things that I personally value.","There were a few moments I felt as though I was repeating the same question I had earlier, such as my personal opinions being stated at both the beginning and end of the survey."
"36",36,359834,70,95,50,80,4,4,4,3,4,5,2,3,3,4,3,4,4,1.02166192404087,4.375,"Low",80,95,60,75,4,5,2,2,75,90,60,70,60,90,60,60,18,2,"1,3",1,"I liked how I could see the different statistics from different years about these issues taking place and then could also voice my own opinion. ","Some challenges were deciding how I felt about certain issues and if I thought these issues people were agreeing with or disagreeing with more or less as time went on. "
"37",39,434,58,1,61,98,3,3,3,3,2,4,2,3,2,4,3,3,5,1.61161927896665,4.25,"Low",40,3,64,100,2,3,4,1,40,74,8,100,56,57,36,100,21,1,"1",4,"I enjoyed learning about what other surveys were like.","No challenges."
"38",42,984,100,50,50,100,5,5,4,5,5,5,1,3,3,3,2,1,1,0.680417479596427,4.375,"Low",100,22,46,100,1,3,1,1,42,79,79,100,85,83,21,100,20,1,"1",3,"It was interesting to see the opinions over the years and how my opinions lined up with them.","I didn’t find any difficulties"
"39",47,696,100,50,60,100,4,4,5,4,4,5,1,2,2,3,3,2,2,0.392537741790373,5.5,"Low",90,65,60,100,2,2,3,1,40,30,30,100,60,70,20,100,21,1,"1",3,"Interesting to see the results after my guesses to see how accurate I was.","I had no outstanding challenges in this exercise."
"40",49,312,100,56,59,100,5,5,5,3,5,5,2,2,3,3,4,1,5,1.14086192404087,4.375,"Low",100,56,49,100,5,3,3,1,93,65,65,100,89,64,39,100,20,1,"1",3,"Showing the publics answers","Zero"
"41",51,151,61,51,16,77,2,3,4,3,4,2,3,2,3,4,3,3,2,5.46983648865754,2.875,"Low",31,41,35,41,3,4,2,4,55,35,18,38,38,28,48,47,20,1,"1",4,"Great questions.","None"
"42",54,238796,90,86,44,100,4,3,5,3,4,5,4,4,4,3,4,4,NA,NA,NA,"Low",82,82,29,100,5,2,1,2,100,87,35,100,78,71,53,100,18,2,"2",1,"It was nice to form my own opinion on these social topics ","I didn't really have much education on some question"
